,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Kills,1,2,3,4,5,6,7,8,9,10,11,12,13,Team,YouTube
55,Sanaconda,5,,,,,,,,2,1,1,,1,,Baltoy Story,https://www.youtube.com/user/Hydronic
55,Feelinara,5,,,,,1,2,,2,,,,,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
55,Rotom (Schneide-Form),5,,,,,,3,,1,,1,,,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
55,Togekiss,5,1,,,,,,1,,,,,2,1,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
55,Rotom,5,1,,3,,,,,1,,,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
55,Kosturso,5,,,2,,2,,,,,1,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
55,Grebbit,5,,,,,,1,1,1,,,2,,,Launching Dragapults,https://www.youtube.com/user/RegiBang
55,Smogmog,5,,,,1,,,,,,,1,2,1,Milchbubis,https://www.youtube.com/user/DauniDaunstar
55,Gorgasonn,5,1,,,1,,2,,,,,,1,,PrekaKnight,https://www.youtube.com/user/Present
55,Zeraora,5,,2,1,,,1,1,,,,,,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
55,Symvolara,5,2,,,,,,,1,,,,2,,Soulstealer,https://www.youtube.com/user/Raizor
55,Mottineva,5,,,,,,,,,,4,,1,,Therapiepi,https://www.youtube.com/user/PokéBazi
67,Pumpdjinn-XL,4,,,,,,1,,1,,,,2,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
67,Chillabell,4,,1,,,,,1,,,,2,,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
67,Kingler,4,,,1,3,,,,,,,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
67,Giga-Schlapfel,4,2,,,,,1,1,,,,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
67,Donarion,4,,,,,,1,2,,,1,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
67,Giga-Maritellit,4,,,1,,,2,,,,,,1,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
67,Mantax,4,,,1,1,,2,,,,,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
67,Qurtel,4,,,,1,,1,,,1,1,,,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
67,Alola-Raichu,4,1,3,,,,,,,,,,,,Nose to Order,https://www.youtube.com/user/BlackLink
67,Pixi,4,,1,1,,,,1,,,,,1,,PrekaKnight,https://www.youtube.com/user/Present
67,Rizeros,4,,,,,,,,1,2,,,1,,PrekaKnight,https://www.youtube.com/user/Present
67,Rotom (Wasch-Form),4,,,,,,,,1,,2,,1,,PrekaKnight,https://www.youtube.com/user/Present
67,Branawarz,4,,1,,,,1,1,,,1,,,,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
67,Echnatoll,4,,,3,,,,,,,,,1,,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
67,Roserade,4,,,1,,,,,1,,1,,1,,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
67,Amigento-Fee,4,,,,,,,1,1,,,,2,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
67,Kleoparda,4,,,,,,1,,,,1,1,1,,Soulstealer,https://www.youtube.com/user/Raizor
67,Krarmor,4,,,,1,,1,,,2,,,,,Therapiepi,https://www.youtube.com/user/PokéBazi
67,Elezard,4,,2,,1,,,,,,,1,,,Therapiepi,https://www.youtube.com/user/PokéBazi
67,Lucario,4,,1,1,,,,,,1,,,,1,Therapiepi,https://www.youtube.com/user/PokéBazi
87,Somnivora,3,1,,,1,1,,,,,,,,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
87,Flamara,3,,,,,,,1,1,,1,,,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
87,Bronzong,3,,,,,,,,2,,,,1,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
87,Silvarro,3,,,1,,,,1,1,,,,,,Crinchilla,https://www.youtube.com/user/CaptainCrinch
87,Gufa,3,,1,,,,,,,,,,,2,Crinchilla,https://www.youtube.com/user/CaptainCrinch
87,Amfira,3,,,,,1,,2,,,,,,,Elekid's Club,https://www.youtube.com/user/ElektechN9ne
87,Strepoli,3,1,,,,,,2,,,,,,,Flutschige Zäpfchen,https://www.youtube.com/user/Nestfloh
87,Piondragi,3,,,,,2,,,,,,,1,,Igalima Impoleon,https://www.youtube.com/user/BelmontGabriel
87,Gortrom,3,,,,,,1,,,2,,,,,Milchbubis,https://www.youtube.com/user/DauniDaunstar
87,Galar-Smogmog,3,,,,2,,,,,,,,1,,Nose to Order,https://www.youtube.com/user/BlackLink
87,Mauzinger,3,,,,,,,2,1,,,,,,PrekaKnight,https://www.youtube.com/user/Present
87,Pescryodon,3,,,,,,,,,,,,,3,Riffex Pontifex,https://www.youtube.com/user/FullLifeGames
87,Pampuli,3,,,,1,,,,,,,2,,,Skywalking Zacians,https://www.youtube.com/user/SinOfSpeed
87,Giflor,3,,,,,,,3,,,,,,,Soulstealer,https://www.youtube.com/user/Raizor
87,Oghnatoll,3,1,,,,1,,,,1,,,,,Soulstealer,https://www.youtube.com/user/Raizor
87,Ninjask,3,,,,,,,,,,1,1,1,,Soulstealer,https://www.youtube.com/user/Raizor
87,Machomei,3,,,,1,,,,,,,1,,1,Soulstealer,https://www.youtube.com/user/Raizor
104,Trikephalo,2,,,1,,,,,,,1,,,,Aggron Berlin,https://www.youtube.com/user/TabascoTV
