

Rang,Pokémon,Team,Kills,YouTube,,Stand: Spieltag 11
1,Resladero,Nova Dragons,19,https://www.youtube.com/user/SinofSpeed
2,Mamutel,Mythical FighterZ,17,https://www.youtube.com/user/Parsifani
3,Zeraora,Prekani,15,https://www.youtube.com/user/PresentLP
4,Anego,Pokebassis,14,https://www.youtube.com/user/PokéBazi
5,Katagami,Pokebassis,13,https://www.youtube.com/user/PokéBazi
5,Manaphy,Prekani,13,https://www.youtube.com/user/PresentLP
7,Mega-Altaria,Pokebassis,12,https://www.youtube.com/user/PokéBazi
7,Knakrack,Triyolotree,12,https://www.youtube.com/user/Minetube
7,Toxiquak,Triyolotree,12,https://www.youtube.com/user/Minetube
7,Mega-Meditalis,Youngstars,12,https://www.youtube.com/user/BraveBird
11,Mega-Stolloss,Absolutism,10,https://www.youtube.com/user/Asalakoren
11,Panferno,Majora's Maskeregen,10,https://www.youtube.com/user/BlackLink
11,Kapu-Toro,Rising Delibirds,10,https://www.youtube.com/user/Scoutley
11,Trikephalo,Youngstars,10,https://www.youtube.com/user/BraveBird
15,Lucario,Mythical FighterZ,9,https://www.youtube.com/user/Parsifani
15,Maxax,Mythical FighterZ,9,https://www.youtube.com/user/Parsifani
15,Kapu-Riki,Nova Dragons,9,https://www.youtube.com/user/SinofSpeed
15,Grebbit,Pokebassis,9,https://www.youtube.com/user/PokéBazi
19,Latias,Absolutism,8,https://www.youtube.com/user/Asalakoren
19,Kyurem-Black,Grippebärchen,8,https://www.youtube.com/user/Hydronic
19,Raikou,Grippebärchen,8,https://www.youtube.com/user/Hydronic
19,Mega-Glurak-X,Nova Dragons,8,https://www.youtube.com/user/SinofSpeed
19,Iksbat,Schleudergang,8,https://www.youtube.com/user/Lauris
19,Skaraborn,Schleudergang,8,https://www.youtube.com/user/Lauris
19,Entei,Soulstealer,8,https://www.youtube.com/user/RaizorZockt
19,Wolwerock-Dämmerungsform,Youngstars,8,https://www.youtube.com/user/BraveBird
27,Meistagrif,Absolutism,7,https://www.youtube.com/user/Asalakoren
27,Panzaeron,Nova Dragons,7,https://www.youtube.com/user/SinofSpeed
27,Krebutack,Prekani,7,https://www.youtube.com/user/PresentLP
27,Mega-Lahmus,Rising Delibirds,7,https://www.youtube.com/user/Scoutley
27,Jirachi,Schleudergang,7,https://www.youtube.com/user/Lauris
27,Schwalboss,Soulstealer,7,https://www.youtube.com/user/RaizorZockt
27,Boreos-Tiergeistform,Youngstars,7,https://www.youtube.com/user/BraveBird
34,Mamolida,Majora's Maskeregen,6,https://www.youtube.com/user/BlackLink
34,Mega-Latias,Majora's Maskeregen,6,https://www.youtube.com/user/BlackLink
34,Staraptor,Majora's Maskeregen,6,https://www.youtube.com/user/BlackLink
34,Quajutsu,Pokebassis,6,https://www.youtube.com/user/PokéBazi
34,Mega-Bisaflor,Prekani,6,https://www.youtube.com/user/PresentLP
34,Rihornior,Schleudergang,6,https://www.youtube.com/user/Lauris
34,Rotom-Mow,Schleudergang,6,https://www.youtube.com/user/Lauris
34,Magneton,Triyolotree,6,https://www.youtube.com/user/Minetube
34,Scherox,Youngstars,6,https://www.youtube.com/user/BraveBird
43,Feelinara,Grippebärchen,5,https://www.youtube.com/user/Hydronic
43,Mega-Schlapor,Grippebärchen,5,https://www.youtube.com/user/Hydronic
43,Metagross,Grippebärchen,5,https://www.youtube.com/user/Hydronic
43,Blitza,Majora's Maskeregen,5,https://www.youtube.com/user/BlackLink
43,Keifel,Majora's Maskeregen,5,https://www.youtube.com/user/BlackLink
43,Snibunna,Majora's Maskeregen,5,https://www.youtube.com/user/BlackLink
43,Arkani,Mythical FighterZ,5,https://www.youtube.com/user/Parsifani
43,Typ:Null,Nova Dragons,5,https://www.youtube.com/user/SinofSpeed
43,Shaymin,Pokebassis,5,https://www.youtube.com/user/PokéBazi
43,Bronzong,Prekani,5,https://www.youtube.com/user/PresentLP
43,Amfira,Rising Delibirds,5,https://www.youtube.com/user/Scoutley
43,Amigento-Fee,Soulstealer,5,https://www.youtube.com/user/RaizorZockt
43,Hariyama,Soulstealer,5,https://www.youtube.com/user/RaizorZockt
43,Lahmus,Triyolotree,5,https://www.youtube.com/user/Minetube
