rank,species_id,pokemon,pokemon_normalized,english,asset_id,tier,tier_rank,gen6_tier,gen6_tier_rank,gen7_tier,gen7_tier_rank,gen8_tier,gen8_tier_rank,gen9_tier,gen9_tier_rank,draft_count,season_count,season_list,title_count,title_seasons,trainer_count,team_count,picked_status,source_urls
59,3,Mega-Bisaflor,megabisaflor,venusaur-mega,venusaurmega,UU,5,OU,3,UUBL,4,Illegal,17,Illegal,17,7,6,"S1, S2, S3, S4, S5, S6",1,S4,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;output/team-graphics/s4/Ritter der Tapukokosnuss - FullLifeGames.png;output/team-graphics/s5/Marvelous Speedsters.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406
60,385,Jirachi,jirachi,Jirachi,jirachi,RUBL,6,(OU),99,OU,3,UU,5,RU,7,7,6,"S3, S4, S5, S6, S8, S10",1,S4,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Ritter der Tapukokosnuss - FullLifeGames.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;data/manual/pokemon_killlists.csv
61,423,Gastrodon,gastrodon,Gastrodon,gastrodon,RU,7,NU,9,PU,11,NU,9,RU,7,7,6,"S1, S3, S4, S6, S9, S10",3,"S1, S3, S10",5,6,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Suicide Squad - CaptainCrinch.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938
62,282,Guardevoir,guardevoir,Gardevoir,gardevoir,RU,7,UU,5,RU,7,RU,7,RU,7,7,6,"S1, S3, S7, S8, S9, S10",0,,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937
63,171,Lanturn,lanturn,Lanturn,lanturn,RU,7,NU,9,PU,11,PU,11,PU,11,7,6,"S1, S3, S5, S6, S7, S8",0,,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;data/manual/pokemon_killlists.csv
64,380,Latias,latias,Latias,latias,RU,7,OU,3,UU,5,UUBL,4,UUBL,4,7,7,"S2, S3, S4, S5, S6, S8, S9",0,,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Surstars - SurskitTV.png;output/team-graphics/s5/Prekani.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
65,241,Miltank,miltank,Miltank,miltank,RU,7,NU,9,NU,9,ZU,13,Illegal,17,7,6,"S1, S3, S4, S6, S8, S9",1,S9,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Slicing Knights - Cabgolord.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
66,609,Skelabra,skelabra,Chandelure,chandelure,RU,7,UU,5,UU,5,RU,7,NU,9,7,6,"S1, S2, S3, S6, S7, S10",0,,6,6,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937
67,481,Vesprit,vesprit,Mesprit,mesprit,RU,7,NU,9,NU,9,PU,11,ZU,13,7,6,"S3, S4, S5, S6, S9, S10",0,,6,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (1).jpg;output/team-graphics/s4/Prekani - PresentLP.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=654435343;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=71150222;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1953790464;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1934543062;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1465731937;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=171349938;data/manual/pokemon_killlists.csv
68,706,Viscogon,viscogon,Goodra,goodra,RU,7,UU,5,RU,7,NUBL,8,NU,9,7,6,"S1, S2, S3, S6, S8, S9",0,,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;data/manual/team_pokemon_usage.csv;output/team-graphics/s3/GPL Teams Spieltag 14 (2).jpg;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1843013406;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1526488506;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=520178140;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1696255979;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1992807502;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=754790791;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0
69,596,Voltula,voltula,Galvantula,galvantula,RU,7,UU,5,RU,7,PU,11,PU,11,7,6,"S1, S2, S4, S6, S7, S8",0,,7,7,picked,https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_species_names.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/languages.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_forms.csv;https://raw.githubusercontent.com/PokeAPI/pokeapi/master/data/v2/csv/pokemon_form_names.csv;https://docs.google.com/spreadsheets/d/1kiwDk4NgYoKb0Oo9yqzwl9HXHxuQ_0I5gkb1JtE57PI/edit#gid=0;https://docs.google.com/spreadsheets/d/1n9SmK-ccTCn8Jjhs4U2LKnibXY8PvuBtV3V9MCOURRA/edit#gid=0;https://docs.google.com/spreadsheets/d/1JZpA-5XDldN2bjfvhvBPHYK-1AENETLnF1UxNEpWlNA/edit#gid=352888197;https://docs.google.com/spreadsheets/d/1FUsClf5qEny-BHY5Djp8rIwRJKBSJDvygJ8LBa62FEo/edit#gid=0;https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0;data/manual/team_pokemon_usage.csv;output/team-graphics/s4/Surstars - SurskitTV.png;https://docs.google.com/spreadsheets/d/11wxsKyCydVmDjp4kGLJAOLPM_LgwCLN2GYpbDQkNtkk/edit#gid=1588964432;https://docs.google.com/spreadsheets/d/1nwiq_ggEj7QePeZGMR2xoi0bEHJr_ZGO24YCRdt93No/edit#gid=857670931;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=26363830;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1953934700;https://docs.google.com/spreadsheets/d/1B2uTMvWlAHb7WlpupJV1A2Hbi3K3U1vCyoFV0wCapcw/edit#gid=1521895812;https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
