season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,channel_url,aliases,data_status,source_urls
season_002,person_regibang,RegiBang,regibang,season_002_lucha_libres,Lucha Libres,lucha libres,Regular Season,https://www.youtube.com/user/RegiBang,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_002_croakdrop,CroakDrop,croakdrop,Regular Season,https://www.youtube.com/user/FanmadeLetsPlay,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_raizor,Raizor,raizor,season_002_raizoroark,Raizoroark,raizoroark,Regular Season,https://www.youtube.com/user/RaizorZockt,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_scherany,Scherany,scherany,season_002_fabulous_gayloppaz,Fabulous Gayloppaz,fabulous gayloppaz,Regular Season,https://www.youtube.com/user/Scherany,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_dirtyd64,DirtyD64,dirtyd64,season_002_magic_manaphys,Magic Manaphys,magic manaphys,Regular Season,https://www.youtube.com/user/DirtyD64,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_kuchenjaeger,Kuchenjaeger,kuchenjaeger,season_002_stunfiskunderdogs,StunfiskUnderdogs,stunfiskunderdogs,Regular Season,https://www.youtube.com/user/Kuchenjaeger,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_fnupa,Cabgolord,fnupa,season_002_doomforce,Doomforce,doomforce,Regular Season,https://www.youtube.com/user/Cabgolord,,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,person_parsifani,Parsifani,parsifani,season_002_duelling_luca_ri_oh,Duelling Luca-Ri-Oh,duelling luca ri oh,Liga 2,https://www.youtube.com/user/Parsifani,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_pokebazi,PokeBazi,pokebazi,season_002_psychic_bazis,Psychic Bazis,psychic bazis,Liga 2,https://www.youtube.com/user/PokéBazi,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_lucariolp,LucarioLP,lucariolp,season_002_wildcats,Wildcats,wildcats,Liga 2,https://www.youtube.com/user/LucarioLP,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_minetube,Minetube,minetube,season_002_triyolotree,Triyolotree,triyolotree,Liga 2,https://www.youtube.com/user/Minetube,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_captaincrinch,CaptainCrinch,captaincrinch,season_002_crinchilla,Crinchilla,crinchilla,Liga 2,https://www.youtube.com/user/CaptainCrinch,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_raikani,Raikani,raikani,season_002_bulettenbande,Bulettenbande,bulettenbande,Liga 2,https://www.youtube.com/user/Raikani,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_letskayze,LetsKayze,letskayze,season_002_infernayze,Infernayze,infernayze,Liga 2,https://www.youtube.com/user/LetsKayze,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_domibri,Domibri,domibri,season_002_sunny_reptiles_2,Sunny Reptiles*²,sunny reptiles 2,Liga 2,https://www.youtube.com/user/Domibri,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_lightgaming,LightGaming,lightgaming,season_002_salty_gengars,Salty Gengars,salty gengars,Liga 2,https://www.youtube.com/user/LightGaming,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_pokebree,PokéBree,pokebree,season_002_absocore,Absocore,absocore,Liga 2,https://www.youtube.com/user/PokéBree,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_shizumania,Shizumania,shizumania,season_002_buzzingmaniacs_3,Buzzingmaniacs*³,buzzingmaniacs 3,Liga 2,https://www.youtube.com/user/Shizumania,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_pentaplayer,PentaPlayer,pentaplayer,season_002_power_knilz_bande,Power Knilz Bande,power knilz bande,Liga 2,https://www.youtube.com/user/PentaPlayer,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_wolvx,WolvX,wolvx,season_002_the_gymleader,The Gymleader,the gymleader,Liga 2,https://www.youtube.com/user/WolvX,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_zant,Zant,zant,season_002_typhlosion_burning_squad,Typhlosion burning Squad,typhlosion burning squad,Liga 2,https://www.youtube.com/user/Zant,,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_003,person_present,PresentLP,present,season_003_prekani,Prekani,prekani,Liga 1,https://www.youtube.com/user/PresentLP,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_regibang,RegiBang,regibang,season_003_glorious_emperors,Glorious Emperors,glorious emperors,Liga 1,https://www.youtube.com/user/RegiBang,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_003_coldlauncher,Coldlauncher,coldlauncher,Liga 1,https://www.youtube.com/user/FanmadeLetsPlay,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_minetube,Minetube,minetube,season_003_triyolotree,Triyolotree,triyolotree,Liga 1,https://www.youtube.com/user/Minetube,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_bene,Bene,bene,season_003_unlimited_blade_works_1,Unlimited Blade Works*¹,unlimited blade works 1,Liga 1,https://www.youtube.com/user/FullLifeGames,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_captaincrinch,CaptainCrinch,captaincrinch,season_003_crinchilla,Crinchilla,crinchilla,Liga 1,https://www.youtube.com/user/CaptainCrinch,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_pokebazi,PokeBazi,pokebazi,season_003_krebuknackis,Krebuknackis,krebuknackis,Liga 1,https://www.youtube.com/c/PokeBazi,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_lauris,Lauris,lauris,season_003_enteigeddon_3_1,Enteigeddon*³ **¹,enteigeddon 3 1,Liga 1,https://www.youtube.com/c/LaurisEnteitainment,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_raizor,Raizor,raizor,season_003_unbound_zoroarks,Unbound Zoroarks,unbound zoroarks,Liga 1,https://www.youtube.com/user/Raizor,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_oktopaul,Oktopaul,oktopaul,season_003_petalburg_panchams,Petalburg Panchams,petalburg panchams,Liga 1,https://www.youtube.com/user/oktopaul,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
season_003,person_art_n_gaming,Art'n'Gaming,art n gaming,season_003_little_littleos,Little Littleos,little littleos,Liga 1,https://www.youtube.com/user/Art'n'Gaming,,sheet_extracted,https://docs.google.com/spreadsheets/d/13ggv8-k1WCcrrjlwXb-ZoSwhODIQlG_NVffp3TGKOgI/edit#gid=0
