video_id,video_url,title,video_type,published_at,channel_id,channel_title,channel_url,source_person_ids,source_person_names,source_team_names,source_seasons,division,detected_season_id,detected_week,detected_stage,detected_round,match_status,best_match_id,confidence,confidence_tier,match_basis,confidence_explanation,perspective_person,opponent,view_count,like_count,comment_count,duration,duration_seconds,stats_fetched_at,views_baseline_median,views_multiplier,views_percentile,views_z_score,video_highlight_reasons,views_week_factor,views_opponent_factor,views_expected,views_trend_multiplier,views_trend_percentile,views_trend_z_score,views_trend_highlight_reasons,source_urls
9ZwXdIHZYzw,https://www.youtube.com/watch?v=9ZwXdIHZYzw,GPL [S3] - Spieltag 09 - vs. Prekani: Teambuilding,teambuilding,2016-03-26T11:00:01Z,UCXJ5whew7vZ8zr-SRMt8q2A,Minetube,https://www.youtube.com/user/Minetube13,person_minetube,Minetube,Akatsuki Amphibianz;Throes Mad;Triyolotree,season_003;season_004;season_005;season_006;season_009;season_010,,season_003,9,regular_season,,teambuilding,,,,,,Minetube,,427,26,5,PT23M22S,1402,2026-06-19T11:59:12Z,,,,,,,,,,,,,https://www.youtube.com/watch?v=9ZwXdIHZYzw;https://www.youtube.com/@Minetube13;https://www.youtube.com/user/Minetube13
dTZJbWb1edw,https://www.youtube.com/watch?v=dTZJbWb1edw,GPL [S3] - Spieltag 9 - Melting Mamoswines VS. Persian Carpets - Teambuilding,teambuilding,2016-03-26T15:02:17Z,UCn4dc4SWrOVdhrLB7FXH6ew,DaumenkinoLP,https://www.youtube.com/c/DaumenkinoLP,person_daumenkino,DaumenkinoLP,Melting Mamoswines,season_001;season_002;season_003,,season_003,9,regular_season,,teambuilding,,,,,,DaumenkinoLP,,173,13,0,PT38M20S,2300,2026-06-19T11:59:12Z,,,,,,,,,,,,,https://www.youtube.com/watch?v=dTZJbWb1edw;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP
LIq7tKJfZ68,https://www.youtube.com/watch?v=LIq7tKJfZ68,GPL [S3] - Spieltag 09 - vs. Triyolotree: Team Building!,teambuilding,2016-03-26T15:07:35Z,UCGJoPLl-4NriTMUsNMK-9Zg,Present,https://www.youtube.com/user/Present,person_present,PresentLP,PrekaKnight;Prekani;Soulblaze,season_001;season_002;season_003;season_004;season_005;season_006;season_007;season_008;season_009,,season_003,9,regular_season,,teambuilding,,,,,,PresentLP,,1819,80,19,PT13M10S,790,2026-06-19T11:59:12Z,,,,,,,,,,,,,https://www.youtube.com/watch?v=LIq7tKJfZ68;https://www.youtube.com/user/Present;https://www.youtube.com/user/PresentLP
9xiqGNEsUJY,https://www.youtube.com/watch?v=9xiqGNEsUJY,GPL [S3] - Spieltag 9 - vs. Glorious Emperors: Teambuilding!,teambuilding,2016-03-26T17:00:01Z,UCbVtitB1c63WGzsZYmzUFzg,SurskitTV,https://www.youtube.com/user/SurskitTV,person_surskittv,SurskitTV,SurDrakings;Surstars,season_001;season_002;season_003;season_004,,season_003,9,regular_season,,teambuilding,,,,,,SurskitTV,,682,44,12,PT22M35S,1355,2026-06-19T11:59:12Z,,,,,,,,,,,,,https://www.youtube.com/watch?v=9xiqGNEsUJY;https://www.youtube.com/user/SurskitTV
L62ybPpJqMk,https://www.youtube.com/watch?v=L62ybPpJqMk,GPL [S3] - Spieltag 09 - vs. Triyolotree: Spiel der Wahrscheinlichkeiten!,game,2016-03-27T10:00:00Z,UCGJoPLl-4NriTMUsNMK-9Zg,Present,https://www.youtube.com/user/Present,person_present,PresentLP,PrekaKnight;Prekani;Soulblaze,season_001;season_002;season_003;season_004;season_005;season_006;season_007;season_008;season_009,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0030,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies PresentLP; title names Minetube as opponent; channel and title identify opposite sides,PresentLP,Minetube,4400,246,43,PT14M40S,880,2026-06-19T11:59:12Z,4377.5,1.01,0.54,0.03,,0.91,1.02,4069.1,1.08,0.73,0.47,,https://www.youtube.com/watch?v=L62ybPpJqMk;https://www.youtube.com/user/Present;https://www.youtube.com/user/PresentLP
M64e_Rh92_k,https://www.youtube.com/watch?v=M64e_Rh92_k,GPL [S3] - Spieltag 09 - vs. Prekani: Absolut (k)ein Problem!,game,2016-03-27T10:00:01Z,UCXJ5whew7vZ8zr-SRMt8q2A,Minetube,https://www.youtube.com/user/Minetube13,person_minetube,Minetube,Akatsuki Amphibianz;Throes Mad;Triyolotree,season_003;season_004;season_005;season_006;season_009;season_010,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0030,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies Minetube; title names PresentLP as opponent; channel and title identify opposite sides,Minetube,PresentLP,978,54,10,PT18M12S,1092,2026-06-19T11:59:12Z,1150,0.85,0.35,-0.38,,0.91,1,1044.6,0.94,0.4,-0.29,,https://www.youtube.com/watch?v=M64e_Rh92_k;https://www.youtube.com/@Minetube13;https://www.youtube.com/user/Minetube13
HHsmyWMIkrU,https://www.youtube.com/watch?v=HHsmyWMIkrU,"Spieglein, Spieglein an der Wand! ★ GPL [S3] ★- Spieltag 9 - vs. Little Litleos",game,2016-03-27T12:00:00Z,UCkEEHak-dPeI11YkalQczRQ,PokéBazi,https://www.youtube.com/c/PokeBazi,person_pokebazi,PokeBazi,Krebuknackis;Pokebassis;Psychic Bazis;Schnittlauchs;Therapiepi,season_002;season_003;season_004;season_005;season_006;season_007,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0038,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies PokeBazi,PokeBazi,Art'n'Gaming,2724,177,49,PT28M35S,1715,2026-06-19T11:59:12Z,2754,0.99,0.5,-0.04,,0.91,1.01,2517.6,1.08,0.74,0.48,,https://www.youtube.com/watch?v=HHsmyWMIkrU;https://www.youtube.com/c/PokeBazi;https://www.youtube.com/channel/UCkEEHak-dPeI11YkalQczRQ;https://www.youtube.com/user/PokéBazi
CUsHVBmXH8Y,https://www.youtube.com/watch?v=CUsHVBmXH8Y,GPL [S3] - Spieltag 9 - vs. Glorious Emperors: 1 gegen Doppel 1!,game,2016-03-27T13:00:00Z,UCbVtitB1c63WGzsZYmzUFzg,SurskitTV,https://www.youtube.com/user/SurskitTV,person_surskittv,SurskitTV,SurDrakings;Surstars,season_001;season_002;season_003;season_004,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0042,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies SurskitTV; title names RegiBang as opponent; channel and title identify opposite sides,SurskitTV,RegiBang,2187,102,12,PT53M54S,3234,2026-06-19T11:59:12Z,1406,1.56,0.89,1.05,über Baseline 1.6x,0.91,1.18,1511.5,1.45,0.94,2.02,Top 10% trendbereinigt,https://www.youtube.com/watch?v=CUsHVBmXH8Y;https://www.youtube.com/user/SurskitTV
uHPEOuiQ0ug,https://www.youtube.com/watch?v=uHPEOuiQ0ug,"GPL [S3] - Spieltag 09 - vs. Surstars: Auftlagen, Polielen!",game,2016-03-27T13:00:03Z,UCQgltvBttK8SuEXTAajWs4Q,RegiBang,https://www.youtube.com/user/RegiBang,person_regibang,RegiBang,Flexing Masskito;Glorious Emperors;Launching Dragapults;Lucha Libres;Pillar Mons;Tectass Toppas,season_002;season_003;season_004;season_006;season_007;season_008,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0042,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies RegiBang; title names SurskitTV as opponent; channel and title identify opposite sides,RegiBang,SurskitTV,12500,669,94,PT54M16S,3256,2026-06-19T11:59:12Z,12008.5,1.04,0.62,0.19,,0.91,1,10908.3,1.15,0.81,0.78,,https://www.youtube.com/watch?v=uHPEOuiQ0ug;https://www.youtube.com/user/RegiBang
1sya_-qm70M,https://www.youtube.com/watch?v=1sya_-qm70M,GPL [S3] - Spieltag 9 - Melting Mamoswines VS. Persian Carpets: Déjà vu,game,2016-03-27T14:00:00Z,UCn4dc4SWrOVdhrLB7FXH6ew,DaumenkinoLP,https://www.youtube.com/c/DaumenkinoLP,person_daumenkino,DaumenkinoLP,Melting Mamoswines,season_001;season_002;season_003,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0050,85,high,"season,week,title",matched season season_003; matched week 9; title names Parsifani as opponent,,Parsifani,566,21,11,PT15M13S,913,2026-06-19T11:59:12Z,652,0.87,0.3,-0.61,,0.91,1,593.3,0.95,0.44,-0.19,,https://www.youtube.com/watch?v=1sya_-qm70M;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP
5y-wuJK6V10,https://www.youtube.com/watch?v=5y-wuJK6V10,GPL [S3] - Spieltag 9 - vs. Pawsome: #Togekissen,game,2016-03-27T14:00:00Z,UCxw9kUfbp4Az1upPSFGtolw,Crinchy,https://www.youtube.com/user/CaptainCrinch,person_captaincrinch,CaptainCrinch,Crinchilla;Suicide Squad,season_002;season_003;season_004;season_005;season_006;season_007,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0046,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies CaptainCrinch,CaptainCrinch,Shiro,1336,80,11,PT31M37S,1897,2026-06-19T11:59:12Z,1340,1,0.5,-0.01,,0.91,1,1217.2,1.1,0.76,0.55,,https://www.youtube.com/watch?v=5y-wuJK6V10;https://www.youtube.com/user/CaptainCrinch
HOYEIcGybjo,https://www.youtube.com/watch?v=HOYEIcGybjo,"GPL [S3] - Spieltag 9 - vs. Cold Launcher: Ey nö, nicht cool.",game,2016-03-27T16:00:00Z,UCwpw7YN2wCG1SeK-09ViUHg,Raizor,https://www.youtube.com/c/Raizor,person_raizor,Raizor,Raizoroark;Soulblaze;Soulstealer;Unbound Zoroarks,season_001;season_002;season_003;season_005;season_006;season_007;season_008;season_009,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0054,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies Raizor; title names FanmadeLetsPlay as opponent; channel and title identify opposite sides,Raizor,FanmadeLetsPlay,7553,353,35,PT15M52S,952,2026-06-19T11:59:12Z,5604,1.35,0.8,0.87,,0.91,1,5090.5,1.48,0.95,2.15,Top 10% trendbereinigt,https://www.youtube.com/watch?v=HOYEIcGybjo;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt
kx83I-WPaSg,https://www.youtube.com/watch?v=kx83I-WPaSg,GPL [S3] - Spieltag 09 - vs. Unbound Zoroarks - Frostiger....Sandsturm?,game,2016-03-27T16:00:01Z,UCTsCVFcd5SGyQFd7CK7DCpA,FanmadeTim,https://www.youtube.com/user/FanmadeLetsPlay,person_fanmadeletsplay,FanmadeLetsPlay,Coldlauncher;CroakDrop;Nocturne*,season_001;season_002;season_003,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0054,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies FanmadeLetsPlay; title names Raizor as opponent; channel and title identify opposite sides,FanmadeLetsPlay,Raizor,2895,184,16,PT15M16S,916,2026-06-19T11:59:12Z,3187,0.91,0.27,-0.67,,0.91,1,2895,1,0.58,0.06,,https://www.youtube.com/watch?v=kx83I-WPaSg;https://www.youtube.com/user/FanmadeLetsPlay;https://www.youtube.com/user/FanmadeLetsplay
q99dp0EPLLM,https://www.youtube.com/watch?v=q99dp0EPLLM,GPL [S3] - Spieltag 09 - vs. Hunting Weaviles: Teambuilding!,teambuilding,2016-03-29T15:50:41Z,UChk3JUrHLwZMlQxqAdp7sRQ,Light Gaming,https://www.youtube.com/user/LightGaming12,person_light_gaming,Light Gaming,,season_003,,season_003,9,regular_season,,teambuilding,,,,,,Light Gaming,,351,34,22,PT15M43S,943,2026-06-19T11:59:12Z,,,,,,,,,,,,,https://www.youtube.com/watch?v=q99dp0EPLLM;https://www.youtube.com/user/LightGaming12
1vA_nceN99I,https://www.youtube.com/watch?v=1vA_nceN99I,GPL [S3] - Spieltag 9 - vs. Arminia Bisharps: Ein statischer Kampf.,game,2016-03-30T12:00:00Z,UCG6UXIiRRLhEy41KELgLcvA,Shizumania | Emreatrix,https://www.youtube.com/user/Shizumania,person_shizumania,Shizumania,Buzzingmaniacs*³,season_002;season_003,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0220,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies Shizumania,Shizumania,Leinux,534,43,4,PT15M11S,911,2026-06-19T11:59:12Z,861.5,0.62,0.25,-1.12,,0.91,1,782.6,0.68,0.07,-1.97,,https://www.youtube.com/watch?v=1vA_nceN99I;https://www.youtube.com/user/Shizumania
NuEm9clBs-M,https://www.youtube.com/watch?v=NuEm9clBs-M,GPL [S3] - Spieltag 9 - vs. Shizumania: Mein Drachi ♥,game,2016-03-30T12:00:01Z,UCUvKgUfqnKVuyChAL1ZYPYg,Leinux,https://www.youtube.com/user/Leinux2,person_leinux,Leinux,Meowseyside,season_003;season_004,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0220,100,high,"season,week,channel,title,both_sides",matched season season_003; matched week 9; channel identifies Leinux; title names Shizumania as opponent; channel and title identify opposite sides,Leinux,Shizumania,371,37,26,PT19M47S,1187,2026-06-19T11:59:12Z,240,1.55,0.91,1.23,über Baseline 1.5x; Top 10% der Person/Saison,0.91,1,218,1.7,0.98,2.88,über Erwartung 1.7x; Top 5% trendbereinigt; Trend-Z-Score 2.9,https://www.youtube.com/watch?v=NuEm9clBs-M;https://www.youtube.com/user/Leinux2
tcAh92uCD9E,https://www.youtube.com/watch?v=tcAh92uCD9E,GPL [S3] - Spieltag 9 - vs. Young Stars: Anders als geplant,game,2016-03-30T13:00:01Z,UCYdaMHNraDfWMxVTlrlnK6w,Cabgolord,https://www.youtube.com/c/Cabgolord,person_fnupa,Cabgolord,Blades Enforcer;Cabgosport;Doomforce;Slicing Knights,season_002;season_003;season_004;season_005;season_006,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0224,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies Cabgolord,Cabgolord,BraveBirdGames,395,27,8,PT20M12S,1212,2026-06-19T11:59:12Z,438.5,0.9,0.31,-0.41,,0.91,1,398.3,0.99,0.51,0.02,,https://www.youtube.com/watch?v=tcAh92uCD9E;https://www.youtube.com/c/Cabgolord;https://www.youtube.com/channel/UCYdaMHNraDfWMxVTlrlnK6w;https://www.youtube.com/user/Cabgolord
Zvq7KYfz7Yw,https://www.youtube.com/watch?v=Zvq7KYfz7Yw,GPL [S3] - Spieltag 9 Vs. Returning Lords | Ein kleiner Kraftschub,game,2016-03-30T13:00:02Z,UCqAKZ9OEu9Fx1fkW1UtXNEQ,BraveBirdthemall,https://www.youtube.com/channel/UCqAKZ9OEu9Fx1fkW1UtXNEQ,person_bravebirdgames;person_maxi_von_vogel,BraveBirdGames;Maxi von Vogel,Fen and Gator;Rexcalybur,season_003;season_008;season_009,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0224,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies BraveBirdGames,BraveBirdGames,Cabgolord,296,21,7,PT12M52S,772,2026-06-19T11:59:12Z,332,0.89,0.36,-0.46,,0.91,1,301.6,0.98,0.48,-0.04,,https://www.youtube.com/watch?v=Zvq7KYfz7Yw;https://www.youtube.com/c/Bravebirdthemall;https://www.youtube.com/channel/UCqAKZ9OEu9Fx1fkW1UtXNEQ
2tK3zSawnl0,https://www.youtube.com/watch?v=2tK3zSawnl0,GPL [S3] - Spieltag 9 - vs. Enteigeddon: Duell der Bestien,game,2016-03-30T14:00:01Z,UCkbb8m4aj08WN7LlnQ2BM9g,TheMiiFii,https://www.youtube.com/user/TheMiiFii,person_themiifii,TheMiiFii,Dreaded Dittos,season_003;season_004,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0228,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies TheMiiFii,TheMiiFii,Lauris,3663,123,29,PT30M,1800,2026-06-19T11:59:12Z,3014.5,1.22,0.92,0.98,Top 10% der Person/Saison,0.91,1,2740.1,1.34,0.91,1.6,Top 10% trendbereinigt,https://www.youtube.com/watch?v=2tK3zSawnl0;https://www.youtube.com/user/TheMiiFii
cK5izuICn7k,https://www.youtube.com/watch?v=cK5izuICn7k,GPL [S3] - Spieltag 9 - vs. Dreaded Dittos | 42 Die Antwort auf alles!,game,2016-03-30T14:00:03Z,UCShFh4OGH23GfshxfIfvcjA,Lauris,https://www.youtube.com/c/LaurisEnteitainment,person_lauris,Lauris,Enteigeddon*³ **¹;Enteikutierung;Schleudergang;Shockwaving Magearnas,season_003;season_004;season_005;season_006,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0050,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies Lauris,Lauris,Parsifani,608,30,5,PT38M57S,2337,2026-06-19T11:59:12Z,711,0.86,0.19,-0.67,,0.91,1,647,0.94,0.4,-0.27,,https://www.youtube.com/watch?v=cK5izuICn7k;https://www.youtube.com/c/LaurisEnteitainment;https://www.youtube.com/channel/UCShFh4OGH23GfshxfIfvcjA
ftV_nNATOIg,https://www.youtube.com/watch?v=ftV_nNATOIg,GPL [S3] - Spieltag 09 - vs. Departed Fairies: No Risk No Fun?!,game,2016-03-30T16:00:03Z,UC8Pi0tMK7eWclD6iYnQ7zyw,KilluaSan,https://www.youtube.com/channel/UC8Pi0tMK7eWclD6iYnQ7zyw,person_killuasan,KilluaSan,,season_003,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0236,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies KilluaSan,KilluaSan,Light Gaming,210,22,6,PT14M12S,852,2026-06-19T11:59:12Z,316,0.66,0.23,-1.24,,0.91,1.02,292.7,0.72,0.1,-1.7,,https://www.youtube.com/watch?v=ftV_nNATOIg;https://www.youtube.com/channel/UC8Pi0tMK7eWclD6iYnQ7zyw
vWGIgQGtqqc,https://www.youtube.com/watch?v=vWGIgQGtqqc,GPL [S3] - Spieltag 09 - vs. Hunting Weaviles: Einflussreicher Anfang!,game,2016-03-30T16:00:03Z,UChk3JUrHLwZMlQxqAdp7sRQ,Light Gaming,https://www.youtube.com/user/LightGaming12,person_light_gaming,Light Gaming,,season_003,Regular Season,season_003,9,regular_season,,matched,season_003_schedule_0236,85,high,"season,week,channel",matched season season_003; matched week 9; channel identifies Light Gaming,Light Gaming,KilluaSan,612,74,36,PT12M57S,777,2026-06-19T11:59:12Z,712.5,0.86,0.23,-0.94,,0.91,1,647.5,0.95,0.42,-0.24,,https://www.youtube.com/watch?v=vWGIgQGtqqc;https://www.youtube.com/user/LightGaming12
