season_id,division,week,person_id,person_name,p_first,p_playoffs,sims,seed,source_urls
season_001,Regular Season,4,person_silva,Silva,0.1340,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,4,person_surskittv,SurskitTV,0.1150,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_art_n_gaming,Art'n'Gaming,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_daumenkino,DaumenkinoLP,0.0280,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_diaswordplay,DiaSwordPlay,0.0020,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_dirtyd64,DirtyD64,0.0020,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_fanmadeletsplay,FanmadeLetsPlay,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_fnupa,Cabgolord,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_morbolth,Morbolth,0.0110,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_pokemonfakten,PokemonFakten,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_present,PresentLP,0.5530,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_raizor,Raizor,0.0000,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_shiro,Shiro,0.1150,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_silva,Silva,0.1720,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
season_001,Regular Season,5,person_surskittv,SurskitTV,0.1170,,1000,42,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
