season_id,person_id,person_name,person_name_normalized,team_id,team_name,team_name_normalized,division,stage,rank,start_week,end_week,matches,wins,losses,draws,points,kills,deaths,differential,data_status,notes,source_urls
season_002,person_minetube,Minetube,minetube,season_002_triyolotree,Triyolotree,triyolotree,Liga 2,full_season,4,,,26,17,9,0,51,121,97,24,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_captaincrinch,CaptainCrinch,captaincrinch,season_002_crinchilla,Crinchilla,crinchilla,Liga 2,full_season,5,,,26,16,10,0,48,130,92,38,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_raikani,Raikani,raikani,season_002_bulettenbande,Bulettenbande,bulettenbande,Liga 2,full_season,6,,,26,16,10,0,48,126,106,20,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_letskayze,LetsKayze,letskayze,season_002_infernayze,Infernayze,infernayze,Liga 2,full_season,7,,,26,14,12,0,42,115,101,14,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_domibri,Domibri,domibri,season_002_sunny_reptiles_2,Sunny Reptiles*²,sunny reptiles 2,Liga 2,full_season,8,,,26,14,11,1,37,126,95,31,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_lightgaming,LightGaming,lightgaming,season_002_salty_gengars,Salty Gengars,salty gengars,Liga 2,full_season,9,,,26,11,15,0,33,108,122,-14,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_pokebree,PokéBree,pokebree,season_002_absocore,Absocore,absocore,Liga 2,full_season,10,,,26,10,16,0,30,90,116,-26,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_shizumania,Shizumania,shizumania,season_002_buzzingmaniacs_3,Buzzingmaniacs*³,buzzingmaniacs 3,Liga 2,full_season,11,,,26,9,17,0,27,105,129,-24,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_pentaplayer,PentaPlayer,pentaplayer,season_002_power_knilz_bande,Power Knilz Bande,power knilz bande,Liga 2,full_season,12,,,26,9,17,0,21,86,129,-43,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,person_wolvx,WolvX,wolvx,season_002_the_gymleader,The Gymleader,the gymleader,Liga 2,full_season,13,,,26,6,20,0,18,88,134,-46,sheet_extracted,Full-season person stats from the final standings row.,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
