season_id,match_id,division,stage,week,player_a,player_b,score,winner,video_count,view_peak,view_total,view_median,view_multiplier_peak,views_percentile_peak,views_z_score_peak,view_expected_peak,view_trend_multiplier_peak,views_trend_percentile_peak,views_trend_z_score_peak,view_expected_total,view_trend_multiplier_match,views_trend_percentile_match,views_trend_z_score_match,views_total_percentile_match,like_peak,comment_peak,engagement_rate_peak,engagement_multiplier_peak,engagement_percentile_peak,engagement_z_score_peak,peak_perspective,both_sides_spiked,close_match,playoff_match,highlight_score,highlight_reasons,video_urls,source_urls,stats_fetched_at
season_009,season_009_schedule_0056,Tag Team,regular_season,7. Spieltag - Mittwoch der 01.06.2022,Bene,OGDNZ,0 - 3,OGDNZ,1,3158,3158,3158,1.17,0.79,0.64,2854.9,1.11,0.85,0.93,2854.9,1.11,0.83,0.94,0.39,265,17,94.68,0.93,0.21,-0.85,Bene,0,0,0,16.67,nur eine Quelle (-15%),https://www.youtube.com/watch?v=1Ar7kiIUz6M,https://www.youtube.com/watch?v=1Ar7kiIUz6M;https://www.youtube.com/@Bene;https://www.youtube.com/user/FullLifeGames;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1037187549,2026-06-19T11:59:12Z
season_005,season_005_schedule_0132,Liga 1,regular_season,17. Spieltag - Sonntag der 08.07.2018,Minetube,Bene,0 - 2,Bene,2,2442,3588,1794,0.87,0.32,-0.37,2197.8,1.11,0.78,0.67,3690,0.97,0.47,-0.07,0.44,131,16,66.75,0.92,0.27,-0.56,Bene,0,0,0,16.65,mehrere Perspektiven,https://www.youtube.com/watch?v=gnZ3WllgAiA;https://www.youtube.com/watch?v=42PTGk3ROqU,https://www.youtube.com/watch?v=gnZ3WllgAiA;https://www.youtube.com/@Bene;https://www.youtube.com/user/FullLifeGames;https://www.youtube.com/watch?v=42PTGk3ROqU;https://www.youtube.com/@Minetube13;https://www.youtube.com/user/Minetube13;https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997,2026-06-19T11:59:12Z
season_005,season_005_schedule_0097,Liga 1,regular_season,5. Spieltag - Sonntag der 08.04.2018,Lauris,Professor N,5 - 0,Lauris,2,3965,6372,3186,1.37,0.91,1.25,3943.6,1.01,0.63,0.12,6931.3,0.92,0.31,-0.51,0.67,198,29,64.56,0.92,0.23,-0.83,Professor N,0,0,0,16.64,mehrere Perspektiven,https://www.youtube.com/watch?v=6AQgj6ErM_E;https://www.youtube.com/watch?v=0ZE0cxwcM1E,https://www.youtube.com/watch?v=6AQgj6ErM_E;https://www.youtube.com/c/LaurisEnteitainment;https://www.youtube.com/channel/UCShFh4OGH23GfshxfIfvcjA;https://www.youtube.com/watch?v=0ZE0cxwcM1E;https://www.youtube.com/channel/UCxwnb7Ru6fSkRJIjKWZGy6Q;https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997,2026-06-19T11:59:12Z
season_010,season_010_schedule_0077,Regular Season,regular_season,Spieltag 11,Dauni,Pokgalaxy,2 - 0,Dauni,2,3516,4727,2363.5,0.95,0.38,-0.67,3457,1.02,0.69,0.35,4952.5,0.95,0.41,-0.22,0.54,376,34,126.28,1.06,0.77,0.91,Dauni,0,0,0,16.58,mehrere Perspektiven,https://www.youtube.com/watch?v=9SC1VkK-f98;https://www.youtube.com/watch?v=yJ4Qf9BZK_M,https://www.youtube.com/watch?v=9SC1VkK-f98;https://www.youtube.com/@DauniDaunstar;https://www.youtube.com/channel/UC0tnEJt5PVGm2_dm_PXj21w;https://www.youtube.com/user/DauniDaunstar;https://www.youtube.com/watch?v=yJ4Qf9BZK_M;https://www.youtube.com/@Pokgalaxy;https://www.youtube.com/c/Pokgalaxy;https://www.youtube.com/user/Pokgalaxy;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780,2026-06-19T11:59:12Z
season_009,season_009_schedule_0060,Tag Team,regular_season,8. Spieltag - Mittwoch der 15.06.2022,Nestfloh,Raizor,3 - 0,Nestfloh,2,6427,11539,5769.5,0.88,0.36,-0.62,7378.1,0.87,0.27,-0.78,13453.1,0.86,0.18,-1.06,0.86,516,29,95.27,1,0.57,0.01,Raizor,0,0,0,16.56,mehrere Perspektiven,https://www.youtube.com/watch?v=AFpvqEcYKyQ;https://www.youtube.com/watch?v=7tK2IPuFxeA,https://www.youtube.com/watch?v=AFpvqEcYKyQ;https://www.youtube.com/user/ElcioBuchLP;https://www.youtube.com/user/Nestfloh;https://www.youtube.com/watch?v=7tK2IPuFxeA;https://www.youtube.com/c/Raizor;https://www.youtube.com/user/Raizor;https://www.youtube.com/user/RaizorZockt;https://docs.google.com/spreadsheets/d/1uo7-E_E2jbehB2hbBurpPayP_0fKY5sPZcFgZmfLydY/edit#gid=1037187549,2026-06-19T11:59:12Z
season_004,season_004_schedule_0221,Liga 2,regular_season,4. Spieltag - Mittwoch der 05.04.2017,Asalakoren,TheMiiFii,0 - 2,TheMiiFii,1,5214,5214,5214,1.12,0.73,0.55,5039,1.03,0.71,0.35,5039,1.03,0.68,0.42,0.58,204,28,49.87,0.99,0.45,-0.11,TheMiiFii,0,0,0,16.52,nur eine Quelle (-15%),https://www.youtube.com/watch?v=DHfdiTVCBLc,https://www.youtube.com/watch?v=DHfdiTVCBLc;https://www.youtube.com/user/TheMiiFii;https://docs.google.com/spreadsheets/d/1NKXigWOr5wX73nBCnJrqO0_OprQy7Q5ncRmxnsQencI/edit#gid=2071855674,2026-06-19T11:59:12Z
season_010,season_010_schedule_0039,Regular Season,regular_season,Spieltag 6,KingBlex,PresentLP,0 - 5,PresentLP,2,6870,8182,4091,0.95,0.31,-0.39,6997.4,0.98,0.56,0.1,9198,0.89,0.24,-0.77,0.76,651,51,109.61,1.07,0.81,0.79,PresentLP,0,0,0,16.51,mehrere Perspektiven,https://www.youtube.com/watch?v=9cc-fzyK5J4;https://www.youtube.com/watch?v=7CF6x1EGB-U,https://www.youtube.com/watch?v=9cc-fzyK5J4;https://www.youtube.com/@KingBlex;https://www.youtube.com/c/KingBlex;https://www.youtube.com/user/KingBlex;https://www.youtube.com/watch?v=7CF6x1EGB-U;https://www.youtube.com/@PresPres;https://docs.google.com/spreadsheets/d/13smsrG2BGYxr_omJWcgr-sUDr39bvOJPNL5RPt4DSow/edit#gid=1215904780,2026-06-19T11:59:12Z;2026-06-19T15:15:41Z
season_003,season_003_schedule_0080,Regular Season,regular_season,23. Spieltag - Sonntag der 10.07.2016,Bene,PokeBazi,0 - 5,PokeBazi,3,2064,4170,1160,0.98,0.47,-0.06,1009.2,1.15,0.82,0.82,4373.7,0.95,0.41,-0.23,0.5,96,32,77.52,0.96,0.5,-0.13,Bene,0,0,0,16.51,mehrere Perspektiven,https://www.youtube.com/watch?v=2hRRSYAFF6o;https://www.youtube.com/watch?v=GZiK2vHjjPg;https://www.youtube.com/watch?v=lcQxyWHdNYU,https://www.youtube.com/watch?v=2hRRSYAFF6o;https://www.youtube.com/@Bene;https://www.youtube.com/user/FullLifeGames;https://www.youtube.com/watch?v=GZiK2vHjjPg;https://www.youtube.com/watch?v=lcQxyWHdNYU;https://www.youtube.com/c/PokeBazi;https://www.youtube.com/channel/UCkEEHak-dPeI11YkalQczRQ;https://www.youtube.com/user/PokéBazi;https://docs.google.com/spreadsheets/d/15MPuuKWiOBeqO8JbrOYulUHFDzWbid6_pYZLHiWVzrk/edit#gid=0,2026-06-19T11:59:12Z
season_004,season_004_schedule_0071,Regular Season,regular_season,14. Spieltag - Sonntag der 18.06.2017,MeLevies,Minetube,0 - 1,Minetube,1,2820,2820,2820,1,0.55,0.01,2839.6,0.99,0.57,0.12,2839.6,0.99,0.54,0.09,0.36,134,19,60.99,0.93,0.32,-0.47,Minetube,0,1,0,16.49,knapper Kampf; nur eine Quelle (-15%),https://www.youtube.com/watch?v=SaKRj0NRf-A,https://www.youtube.com/watch?v=SaKRj0NRf-A;https://www.youtube.com/@Minetube13;https://www.youtube.com/user/Minetube13;https://docs.google.com/spreadsheets/d/1u8AORkPkqIxR4GblUqU5faeTfuuKGjKrllUxnnUdRz0/edit#gid=992181004,2026-06-19T11:59:12Z
season_002,season_002_schedule_0022,Regular Season,regular_season,8. Spieltag - Sonntag der 03.05.2015 [12:00 -18:00],DaumenkinoLP,FanmadeLetsPlay,3 - 0,DaumenkinoLP,2,3441,3884,1942,0.97,0.38,-0.15,3491.5,0.99,0.51,0.01,3962.7,0.98,0.49,-0.01,0.47,177,21,72.23,1.02,0.54,0.05,FanmadeLetsPlay,0,0,0,16.48,mehrere Perspektiven,https://www.youtube.com/watch?v=3PFBVJRDCLk;https://www.youtube.com/watch?v=r7KkweTvl24,https://www.youtube.com/watch?v=3PFBVJRDCLk;https://www.youtube.com/c/DaumenkinoLP;https://www.youtube.com/user/TheHerbertLP;https://www.youtube.com/watch?v=r7KkweTvl24;https://www.youtube.com/user/FanmadeLetsPlay;https://www.youtube.com/user/FanmadeLetsplay;https://docs.google.com/spreadsheets/d/16wGz0QnHeyqfcAhKdYvDqUZAvKxXKuAHchszJjhpp-o/edit#gid=0,2026-06-19T11:59:12Z
