record_key,holder_person_id,holder_name,holder_pokemon,value,season_id,week,match_id,video_url,superseded,source_urls
highest_elo,person_bene,Bene,,1741,season_005,1. Spieltag - Sonntag der 11.03.2018,season_005_schedule_0001,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1750,season_005,2. Spieltag - Sonntag der 18.03.2018,season_005_schedule_0045,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1754,season_005,12. Spieltag - Sonntag der 03.06.2018,season_005_schedule_0003,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1764,season_005,13. Spieltag - Sonntag der 10.06.2018,season_005_schedule_0047,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1770,season_005,14. Spieltag - Sonntag der 17.06.2018,season_005_schedule_0055,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1776,season_005,15. Spieltag - Sonntag der 24.06.2018,season_005_schedule_0087,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1781,season_005,16. Spieltag - Sonntag der 01.07.2018,season_005_schedule_0107,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1787,season_005,17. Spieltag - Sonntag der 08.07.2018,season_005_schedule_0132,,1,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
highest_elo,person_bene,Bene,,1793,season_005,18. Spieltag - Sonntag der 15.07.2018,season_005_schedule_0016,,0,https://docs.google.com/spreadsheets/d/1nONaKwJcrN04APGKN-HrZ8yavwZdFkfnaA59Zp1sdBU/edit#gid=405850997
longest_win_streak,person_daumenkino,DaumenkinoLP,,1,season_001,1. Spieltag - Sonntag der 14.09.2014 [12:00 -17:00],season_001_schedule_0001,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_daumenkino,DaumenkinoLP,,2,season_001,2. Spieltag - Sonntag der 21.09.2014 [12:00 -17:00],season_001_schedule_0029,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_daumenkino,DaumenkinoLP,,3,season_001,3. Spieltag - Sonntag der 28.09.2014 [12:00 -17:00],season_001_schedule_0057,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,4,season_001,4. Spieltag - Sonntag der 05.10.2014 [12:00 -17:00],season_001_schedule_0082,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,5,season_001,5. Spieltag - Sonntag der 12.10.2014 [12:00 -17:00],season_001_schedule_0097,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,6,season_001,6. Spieltag - Sonntag der 19.10.2014 [12:00 -17:00],season_001_schedule_0111,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,7,season_001,7. Spieltag - Sonntag der 26.10.2014 [12:00 -17:00],season_001_schedule_0002,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,8,season_001,8. Spieltag - Sonntag der 02.11.2014 [12:00 -17:00],season_001_schedule_0030,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,9,season_001,9. Spieltag - Sonntag der 09.11.2014 [12:00 -17:00],season_001_schedule_0058,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
longest_win_streak,person_present,PresentLP,,10,season_001,10. Spieltag - Sonntag der 16.11.2014 [12:00 -17:00],season_001_schedule_0083,,1,https://docs.google.com/spreadsheets/d/14N_40jsahiN9DChpnNaPTnFy26If6imVHtqBGDWk6pg/edit#gid=0
