season_id,division,stage,is_primary,rank,person_id,player_name,player_name_normalized,team_id,team_name,wins,losses,draws,points,kills,deaths,differential,data_status,source_urls
season_002,Regular Season,final_table,true,7,person_present,PresentLP,present,season_002_prekani,Prekani,13,12,1,40,120,112,8,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,8,person_regibang,RegiBang,regibang,season_002_lucha_libres,Lucha Libres,13,13,0,36,120,113,7,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,9,person_fanmadeletsplay,FanmadeLetsPlay,fanmadeletsplay,season_002_croakdrop,CroakDrop,13,13,0,36,114,117,-3,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,10,person_raizor,Raizor,raizor,season_002_raizoroark,Raizoroark,12,14,0,36,109,121,-12,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,11,person_scherany,Scherany,scherany,season_002_fabulous_gayloppaz,Fabulous Gayloppaz,10,16,0,30,106,135,-29,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,12,person_dirtyd64,DirtyD64,dirtyd64,season_002_magic_manaphys,Magic Manaphys,8,18,0,21,98,133,-35,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,13,person_kuchenjaeger,Kuchenjaeger,kuchenjaeger,season_002_stunfiskunderdogs,StunfiskUnderdogs,7,19,0,21,94,136,-42,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Regular Season,final_table,true,14,person_fnupa,Cabgolord,fnupa,season_002_doomforce,Doomforce,5,21,0,15,74,137,-63,sheet_extracted,https://docs.google.com/spreadsheets/d/1vJ-pioe3RZKSZ3LIGEA3FVTv_KEE_XKIQAXSIUNNd-Q/edit#gid=0
season_002,Liga 2,final_table,true,1,person_parsifani,Parsifani,parsifani,season_002_duelling_luca_ri_oh,Duelling Luca-Ri-Oh,19,5,2,59,140,105,35,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
season_002,Liga 2,final_table,true,2,person_pokebazi,PokeBazi,pokebazi,season_002_psychic_bazis,Psychic Bazis,19,6,1,55,137,111,26,sheet_extracted,https://docs.google.com/spreadsheets/d/1ACnJyxD1hx-mbOcZXoJ5BjXDOwUF1TYmfgkqtJgFRXk/edit#gid=0
