Team,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Symphonic Swellow,1,54,121,67,54,18,4,0,https://www.youtube.com/user/BelmontGabriel
Elekid's Club,2,51,115,83,32,17,5,0,https://www.youtube.com/user/ElektechN9ne
Brazilliant,3,42,105,97,7,14,8,0,https://www.youtube.com/user/BraveBird
Stardew Silvally,4,39,108,94,14,13,9,0,https://www.youtube.com/user/BlackLink
Wild West Style,5,33,102,99,3,11,11,0,https://www.youtube.com/user/Dauni
Lax Litwick,6,33,106,108,-3,11,11,0,https://www.youtube.com/user/CrowdControllerLP
Crustle Crusaders,7,30,92,94,-2,10,12,0,https://www.youtube.com/user/StratocopterTV
Krebuknackis,8,30,96,104,-8,10,12,0,https://www.youtube.com/user/PokéBazi
Weavile Ga Kill,9,27,91,107,-16,9,13,0,https://www.youtube.com/user/Craycom
Goofy Gufas,10,24,91,115,-24,8,14,0,https://www.youtube.com/user/oktopaul
Götterboten,11,18,84,114,-30,6,16,0,https://www.youtube.com/user/Scoutley
Thrillerbark,12,15,87,116,-29,5,17,0,https://www.youtube.com/user/Asalakoren



,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/RP4CR3
,,,,,,,,,Stand: Spieltag 22
