,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Rückrunde: Spieltag 12 - 17,,,,Rückrunde: Spieltag 18 - 22

,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 11.03.2018,,,,7. Spieltag - Sonntag der 22.04.2018,,,,12. Spieltag - Sonntag der 03.06.2018,,,,18. Spieltag - Sonntag der 15.07.2018

,FullLifeGames,:,Lauris Enteitainment,,Lauris Enteitainment,:,glebber,,Lauris Enteitainment,:,FullLifeGames,,glebber,:,Lauris Enteitainment
,TabascoTV,:,Sin of Speed,,Sin of Speed,:,CaptainCrinch,,Sin of Speed,:,Parsifani,,CaptainCrinch,:,Sin of Speed
,PresentLP,:,Cabgolord,,Cabgolord,:,Professor N,,Cabgolord,:,PresentLP,,Professor N,:,Cabgolord
,Minetube,:,Raizor,,Raizor,:,FullLifeGames,,Raizor,:,Minetube,,FullLifeGames,:,Raizor
,MeLevies,:,Professor N,,Parsifani,:,MeLevies,,Professor N,:,MeLevies,,Kaffeecone,:,Parsifani
,glebber,:,CaptainCrinch,,PresentLP,:,Minetube,,CaptainCrinch,:,glebber,,Minetube,:,PresentLP

,2. Spieltag - Sonntag der 18.03.2018,,,,8. Spieltag - Sonntag der 29.04.2018,,,,13. Spieltag - Sonntag der 10.06.2018,,,,19. Spieltag - Sonntag der 22.07.2018

,Cabgolord,:,TabascoTV,,Minetube,:,Parsifani,,Parsifani,:,Cabgolord,,Parsifani,:,Minetube
,Raizor,:,PresentLP,,PresentLP,:,FullLifeGames,,PresentLP,:,Raizor,,FullLifeGames,:,PresentLP
,Professor N,:,Minetube,,MeLevies,:,Lauris Enteitainment,,Minetube,:,Professor N,,Lauris Enteitainment,:,Kaffeecone
,CaptainCrinch,:,MeLevies,,glebber,:,Sin of Speed,,MeLevies,:,CaptainCrinch,,Sin of Speed,:,glebber
,Sin of Speed,:,Lauris Enteitainment,,CaptainCrinch,:,Cabgolord,,Lauris Enteitainment,:,Sin of Speed,,Cabgolord,:,CaptainCrinch
,FullLifeGames,:,glebber,,Professor N,:,Raizor,,glebber,:,FullLifeGames,,Raizor,:,Professor N

,3. Spieltag - Sonntag der 25.03.2018,,,,9. Spieltag - Sonntag der 06.05.2018,,,,14. Spieltag - Sonntag der 17.06.2018,,,,20. Spieltag - Sonntag der 29.07.2018

,Lauris Enteitainment,:,Cabgolord,,Lauris Enteitainment,:,Minetube,,Cabgolord,:,Lauris Enteitainment,,Minetube,:,Lauris Enteitainment
,Sin of Speed,:,FullLifeGames,,Sin of Speed,:,MeLevies,,FullLifeGames,:,Sin of Speed,,Kaffeecone,:,Sin of Speed
,TabascoTV,:,Raizor,,Cabgolord,:,glebber,,Raizor,:,Parsifani,,glebber,:,Cabgolord
,PresentLP,:,Professor N,,Raizor,:,CaptainCrinch,,Professor N,:,PresentLP,,CaptainCrinch,:,Raizor
,Minetube,:,CaptainCrinch,,FullLifeGames,:,Professor N,,Captain Crinch,:,Minetube,,Professor N,:,FullLifeGames
,MeLevies,:,glebber,,Parsifani,:,PresentLP,,glebber,:,Kaffeecone,,PresentLP,:,Parsifani

,4. Spieltag - Sonntag der 01.04.2018,,,,10. Spieltag - Sonntag der 13.05.2018,,,,15. Spieltag - Sonntag der 24.06.2018,,,,21. Spieltag - Sonntag der 05.08.2018

,Professor N,:,TabascoTV,,PresentLP,:,Lauris Enteitainment,,Parsifani,:,Professor N,,Lauris Enteitainment,:,PresentLP
,CaptainCrinch,:,PresentLP,,Minetube,:,Sin of Speed,,PresentLP,:,Captain Crinch,,Sin of Speed,:,Minetube
,glebber,:,Minetube,,MeLevies,:,Cabgolord,,Minetube,:,glebber,,Cabgolord,:,Kaffeecone
,MeLevies,:,FullLifeGames,,glebber,:,Raizor,,FullLifeGames,:,Kaffecone,,Raizor,:,glebber
,Raizor,:,Lauris Enteitainment,,CaptainCrinch,:,Professor N,,Lauris Enteitainment,:,Raizor,,Professor N,:,CaptainCrinch
,Cabgolord,:,Sin of Speed,,FullLifeGames,:,Parsifani,,Sin of Speed,:,Cabgolord,,Parsifani,:,FullLifeGames

,5. Spieltag - Sonntag der 08.04.2018,,,,11. Spieltag - Sonntag der 20.05.2018,,,,16. Spieltag - Sonntag der 01.07.2018,,,,22. Spieltag - Sonntag der 12.08.2018

,Lauris Enteitainment,:,Professor N,,CaptainCrinch,:,FullLifeGames,,Professor N,:,Lauris Enteitainment,,FullLifeGames,:,Captain Crinch
,Sin of Speed,:,Raizor,,Sin of Speed,:,PresentLP,,Raizor,:,Sin of Speed,,PresentLP,:,Sin of Speed
,FullLifeGames,:,Cabgolord,,Cabgolord,:,Minetube,,Cabgolord,:,FullLifeGames,,Minetube,:,Cabgolord
,TabascoTV,:,CaptainCrinch,,Raizor,:,MeLevies,,CaptainCrinch,:,Parsifani,,Kaffeecone,:,Raizor
,PresentLP,:,glebber,,Professor N,:,glebber,,glebber,:,PresentLP,,glebber,:,Professor N
,Minetube,:,MeLevies,,Lauris Enteitainment,:,Parsifani,,Kaffecone,:,Minetube,,Parsifani,:,Lauris Enteitainment

,6. Spieltag - Sonntag der 15.04.2018,,,,Parsifani ist an Spieltag 6 für TabascoTV eingestiegen,,,,17. Spieltag - Sonntag der 08.07.2018,,,,Kaffeecone ist an Spieltag 14 für MeLevies eingestiegen

,glebber,:,Parsifani,,,,,,Parsifani,:,glebber
,MeLevies,:,PresentLP,,,,,,PresentLP,:,Kaffecone
,CaptainCrinch,:,Lauris Enteitainment,,,,,,Lauris Enteitainment,:,Captain Crinch
,Professor N,:,Sin of Speed,,,,,,Sin of Speed,:,Professor N
,Raizor,:,Cabgolord,,,,,,Cabgolord,:,Raizor
,FullLifeGames,:,Minetube,,,,,,Minetube,:,FullLifeGames
