,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Rückrunde: Spieltag 12 - 17,,,,Rückrunde: Spieltag 18 - 22

,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!,,,,Kämpfe kommen von 12:00 - 17:00 Uhr!

,1. Spieltag - Sonntag der 11.03.2018,,,,7. Spieltag - Sonntag der 22.04.2018,,,,12. Spieltag - Sonntag der 03.06.2018,,,,18. Spieltag - Sonntag der 15.07.2018

,TabascoTV,0:5,CaptainCrinch,,Raizor,5:0,MeLevies,,CaptainCrinch,4:0,Parsifani,,Kaffeecone,:,Raizor
,PresentLP,1:0,glebber,,Professor N,0:2,glebber,,glebber,0:2,PresentLP,,glebber,:,Professor N
,Minetube,2:0,MeLevies,,Lauris Enteitainment,3:0,Parsifani,,Kaffeecone,1:0,Minetube,,Parsifani,:,Lauris Enteitainment

,6. Spieltag - Sonntag der 15.04.2018,,,,Parsifani ist an Spieltag 6 für TabascoTV eingestiegen,,,,17. Spieltag - Sonntag der 08.07.2018,,,,Kaffeecone ist an Spieltag 14 für MeLevies eingestiegen

,glebber,0:1,Parsifani,,,,,,Parsifani,0:3,glebber
,MeLevies,0:1,PresentLP,,,,,,PresentLP,5:0,Kaffeecone
,CaptainCrinch,0:1,Lauris Enteitainment,,,,,,Lauris Enteitainment,5:0,Captain Crinch
,Professor N,4:0,Sin of Speed,,,,,,Sin of Speed,5:0,Professor N
,Raizor,4:0,Cabgolord,,,,,,Cabgolord,0:1,Raizor
,FullLifeGames,5:0,Minetube,,,,,,Minetube,0:2,FullLifeGames
