 Minetube [1 - 0] LetsKayze,,Glebber-San [6 - 0] K-O-H          ,,    Minetube [0 - 6] LetsKayze,,Domibri [0 - 4] WolvX 
                     CaptainCrinch [4 - 0] Philipp1337,,     Parsifani [3 - 0] LightGaming ,,CaptainCrinch [4 - 0] Shizumania  ,,      Parsifani [0 - 3] LightGaming

5. Spieltag - Mittwoch der 15.04.2015 [12:00 -18:00],,12. Spieltag - Mittwoch der 03.06.2015 [12:00 -18:00],,18. Spieltag - Mittwoch der 22.07.2015 [12:00 -18:00],,25. Spieltag - Mittwoch der 09.09.2015 [12:00 -18:00]

Parsifani [2 - 0] Zant017,, Zant017 [0 - 1] LetsKayze,,Parsifani [3 - 0] Zant017,,    Zant017 [0 - 3] LetsKayze
          K-O-H [0 - 5] LightGaming,,     FreeCale [1 - 0] CaptainCrinch,,          WolvX [0 - 3] LightGaming,,          Raikani [0 - 3] CaptainCrinch
Glebber-San [3 - 0] PentaPlayer,,Philipp1337 [0 - 3] LucarioLP     ,,        Domibri [0 - 1] PentaPlayer,,Shizumania [0 - 1] LucarioLP  
PokeBazi [3 - 0] PokeBree,,PokeBree [0 - 4] Minetube13,,  PokeBazi [2 - 0] PokeBree,,    PokeBree [0 - 6] Minetube13 
LucarioLP [4 - 0] Minetube,,  PokeBazi [1 - 0] Glebber-San,,LucarioLP [0 - 2] Minetube,,PokeBazi [0 - 4] Domibri   
                          Philipp1337 [0 - 3] FreeCale,,LightGaming [5 - 0] PentaPlayer   ,,Shizumania [2 - 0] Raikani    ,,LightGaming [0 - 2] PentaPlayer
      LetsKayze [0 - 4] CaptainCrinch,, K-O-H [0 - 2] Parsifani,,       LetsKayze [2 - 0] CaptainCrinch,,    WolvX [0 - 1] Parsifani

6. Spieltag - Mittwoch der 22.04.2015 [12:00 -18:00],,13. Spieltag - Mittwoch der 10.06.2015 [12:00 -18:00],,19. Spieltag - Mittwoch der 29.07.2015 [12:00 -18:00],,26. Spieltag - Mittwoch der 16.09.2015 [12:00 -18:00]

