              Oktopaul [2 - 0] FanmadeLetsPlay,,    Scherany [0 - 4] KaffeeConeLP,,              Oktopaul [4 - 0] FanmadeLetsPlay,,            Scherany [0 - 4] KaffeeConeLP     
                    PresentLP [0 - 1] Steve's Super Fun Time,,           Fnupa [0 - 3] DaumenKinoLP,,                     PresentLP [2 - 0] Steve's Super Fun Time ,,             Cabgolord [0 - 2] DaumenKinoLP     
     Shiro-San [4 - 0] Raizor Zockt,,Raizor Zockt [2 - 0] DirtyD64         ,,      Shiro-San [4 - 0] Raizor Zockt ,,Raizor Zockt [0 - 3] DirtyD64      
                  DaumenKinoLP [0 - 3] DirtyD64,,            Shiro-San [0 - 0] PresentLP Durch DC und Unklarheit = Tie,,DaumenKinoLP [5 - 0] DirtyD64         ,,       Shiro-San [6 - 0] PresentLP nach Brechen der Item Clause
    Fnupa [5 - 0] Scherany,,      FanmadeLetsPlay [1 - 0] Steve's Super Fun Time,,Cabgolord [4 - 0] Scherany,,               FanmadeLetsPlay [0 - 4] Steve's Super Fun Time     
       SurskitTV [2 - 0] KaffeeConeLP,,    Oktopaul [0 - 3] Kuchenjaeger,,       SurskitTV [2 - 0] KaffeeConeLP,,             Oktopaul [3 - 0] Kuchenjaeger     

5. Spieltag - Sonntag der 12.04.2015 [12:00 -18:00],,12. Spieltag - Sonntag der 31.05.2015 [12:00 -18:00],,18. Spieltag - Sonntag der 19.07.2015 [12:00 -18:00],,25. Spieltag - Sonntag der 06.09.2015 [12:00 -18:00]

   Oktopaul [2 - 0] RegiBang,,RegiBang [0 - 1] Scherany  ,,  Oktopaul [0 - 2] RegiBang,,      RegiBang [1 - 0] Scherany    
       Steve's Super Fun Time [5 - 0] Kuchenjaeger,,DaumenKinoLP [0 - 3] SurskitTV         ,,Steve's Super Fun Time [3 - 0] Kuchenjaeger              ,,DaumenKinoLP [1 - 0] SurskitTV     
                FanmadeLetsPlay [0 - 2] Shiro-San,, KaffeeConeLP [2 - 0] Raizor Zockt    ,,FanmadeLetsPlay [0 - 1] Shiro-San           ,,KaffeeConeLP [4 - 0] Raizor Zockt
      DirtyD64 [0 - 2] PresentLP,,             PresentLP [3 - 0] Fnupa  nach DC      ,,    DirtyD64 [3 - 0] PresentLP,,  PresentLP [1 - 0] Cabgolord
                        Raizor Zockt [0 - 4] Fnupa,,             DirtyD64 [0 - 2] FanmadeLetsPlay,,Raizor Zockt [4 - 0] Cabgolord   ,,                 DirtyD64 [0 - 2] FanmadeLetsPlay
     KaffeeConeLP [0 - 4] DaumenKinoLP,,Kuchenjaeger [0 - 3] Shiro-San      ,,    KaffeeConeLP [0 - 1] DaumenKinoLP ,,Kuchenjaeger [0 - 1] Shiro-San  
   Scherany [4 - 0] SurskitTV,,Steve's Super Fun Time [5 - 4] Oktopaul; Draw nach Time Out,,   Scherany [1 - 0] SurskitTV,,Steve's Super Fun Time [0 - 3] Oktopaul                   

6. Spieltag - Sonntag der 19.04.2015 [12:00 -18:00],,13. Spieltag - Sonntag der 07.06.2015 [12:00 -18:00],,19. Spieltag - Sonntag der 26.07.2015 [12:00 -18:00],,26. Spieltag - Sonntag der 13.09.2015 [12:00 -18:00]

                        RegiBang [0 - 2] Steve's Super Fun Time,,DaumenKinoLP [2 - 0] RegiBang         ,,                        RegiBang [0 - 5] Steve's Super Fun Time,, DaumenKinoLP [1 - 0] RegiBang       
                Shiro-San [0 - 4] Oktopaul nach DC,,Raizor Zockt [3 - 0] Scherany      ,,                        Shiro-San [6 - 0] Oktopaul nach Aufgeben,,Raizor Zockt [0 - 2] Scherany  
Kuchenjaeger [0 - 1] DirtyD64     ,,                 SurskitTV [4 - 0] PresentLP  nach DC   ,,Kuchenjaeger [4 - 0] DirtyD64    ,,   SurskitTV [0 - 1] PresentLP
                    Fnupa [0 - 5] FanmadeLetsPlay,,FanmadeLetsPlay [0 - 6] KaffeeConeLP       ,,               Cabgolord [2 - 0] FanmadeLetsPlay,,FanmadeLetsPlay [0 - 2] KaffeeConeLP   
         PresentLP [5 - 0] KaffeeConeLP,,          Fnupa [0 - 6] Kuchenjaeger,,         PresentLP [0 - 3] KaffeeConeLP,,        Cabgolord [0 - 2] Kuchenjaeger
       SurskitTV [0 - 3] Raizor Zockt,,Oktopaul [0 - 2] DirtyD64 ,,       SurskitTV [2 - 0] Raizor Zockt,,   Oktopaul [1 - 0] DirtyD64
DaumenKinoLP [3 - 0] Scherany       ,,       Shiro-San [2 - 1] Steve's Super Fun Time; Draw nach Time Out,,DaumenKinoLP [4 - 0] Scherany      ,,                        Shiro-San [0 - 3] Steve's Super Fun Time

7. Spieltag - Sonntag der 26.04.2015 [12:00 -18:00],,Hinrunde,,20. Spieltag - Sonntag der 02.08.2015 [12:00 -18:00]

Shiro-San [1 - 0] RegiBang,,Rückrunde,,   Shiro-San [4 - 0] RegiBang
                       DirtyD64 [0 - 2] Steve's Super Fun Time,,,,                          DirtyD64 [0 - 3] Steve's Super Fun Time
Oktopaul [6 - 0] Fnupa    ,,Fnupa = Cabgolord,,        Oktopaul [4 - 0] Cabgolord    
KaffeeConeLP [1 - 0] Kuchenjaeger  ,,,,  KaffeeConeLP [0 - 4] Kuchenjaeger
FanmadeLetsPlay [0 - 3] SurskitTV             ,,,,FanmadeLetsPlay [0 - 2] SurskitTV         
Scherany [2 - 0] PresentLP,,,,     Scherany [0 - 3] PresentLP
  Raizor Zockt [0 - 2] DaumenKinoLP,,,,        Raizor Zockt [0 - 3] DaumenKinoLP 
