GPL Pokémon Kill Rang:,,Stand: Spieltag 12 ,"Restlichen Spieltage werden aktualisiert, sobald ich alle Kills habe",,,Raizor - Stand: Spieltag 13

Pokémon,Kills,Platz,Kanal
Skorgro,2,15,https://www.youtube.com/user/Fnupa/
Forstellka ,2,14,https://www.youtube.com/user/Fnupa/
Rotom-W,2,14,https://www.youtube.com/user/SteveParker
Aquana,2,14,https://www.youtube.com/user/RegiBang
Aquana,2,14,https://www.youtube.com/c/DaumenkinoLP
Forstellka,1,15,https://www.youtube.com/c/DaumenkinoLP
Tentoxa,1,15,https://www.youtube.com/c/DaumenkinoLP
Magbrant,1,15,https://www.youtube.com/user/Fnupa/
Zapdos,1,15,https://www.youtube.com/user/oktopaul
Meistagrif,1,15,https://www.youtube.com/user/oktopaul
Nidoking,1,15,https://www.youtube.com/user/oktopaul
Florges,1,15,https://www.youtube.com/user/oktopaul
Elfun,1,15,https://www.youtube.com/user/TheDirtydancer64
Forstellka,1,15,https://www.youtube.com/user/TheDirtydancer64
Viscogon,1,15,https://www.youtube.com/user/TheDirtydancer64
Trombork,1,15,https://www.youtube.com/user/SurskitTV
Arkani,1,15,https://www.youtube.com/user/PresentLP
Libelldra,1,15,https://www.youtube.com/user/PresentLP
Heatran,1,15,https://www.youtube.com/user/PresentLP
Forstellka,1,15,https://www.youtube.com/user/PresentLP
Golgantes,1,15,https://www.youtube.com/user/TJLH100
Blitza ,1,15,https://www.youtube.com/user/Scherany
Skorgla,1,15,https://www.youtube.com/user/SurskitTV
Porygon-Z,1,15,https://www.youtube.com/user/SurskitTV
Kobalium,1,15,https://www.youtube.com/user/Kuchenjaeger
Snibunna,1,15,https://www.youtube.com/user/Kuchenjaeger
Flunschlik,1,15,https://www.youtube.com/user/Kuchenjaeger
Dragoran,1,15,https://www.youtube.com/user/FanmadeLetsPlay
Zapdos,1,15,https://www.youtube.com/user/RaizorZockt
Forstellka,1,15,https://www.youtube.com/user/RegiBang
Brigaron,1,15,https://www.youtube.com/user/RegiBang
Porygon2,1,15,https://www.youtube.com/user/SteveParker
Skorgro,1,15,https://www.youtube.com/user/Shriosan
Impoleon,1,15,https://www.youtube.com/user/Shriosan
