,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Flexing Masskito,1,9,18,4,14,3,0,0,https://www.youtube.com/user/RegiBang
Shocking Shaymins,2,9,18,6,12,3,0,0,https://www.youtube.com/user/MeLevies
Ritter der Tapukokosnuss,3,6,16,10,6,2,1,0,https://www.youtube.com/user/FullLifeGames
Enteikutierung,4,6,14,9,5,2,1,0,https://www.youtube.com/c/LaurisEnteitainment
Triyolotree,5,6,16,13,3,2,1,0,https://www.youtube.com/user/Minetube
Prekani,6,6,13,10,3,2,1,0,https://www.youtube.com/user/PresentLP
Schnittlauchs,7,3,9,13,-4,1,2,0,https://www.youtube.com/c/PokeBazi
Slicing Knights,8,3,9,14,-5,1,2,0,https://www.youtube.com/user/Cabgolord
Surstars,8,3,8,13,-5,1,2,0,https://www.youtube.com/user/SurskitTV
Suicide Squad,10,3,8,17,-9,1,2,0,https://www.youtube.com/user/CaptainCrinch
Variant Vulpix,11,0,10,18,-8,0,3,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,12,0,6,18,-12,0,3,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
