,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Flexing Masskito,1,30,68,38,30,10,2,0,https://www.youtube.com/user/RegiBang
Ritter der Tapukokosnuss,2,30,69,42,27,10,2,0,https://www.youtube.com/user/FullLifeGames
Enteikutierung,3,21,61,46,15,7,5,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,4,21,61,50,11,7,5,0,https://www.youtube.com/user/MeLevies
Prekani,5,21,58,51,7,7,5,0,https://www.youtube.com/user/PresentLP
Triyolotree,6,21,55,51,4,7,5,0,https://www.youtube.com/user/Minetube
Suicide Squad,7,21,52,49,3,7,5,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,15,47,58,-11,5,7,0,https://www.youtube.com/user/Cabgolord
Surstars,9,12,43,60,-17,4,8,0,https://www.youtube.com/user/SurskitTV
Schnittlauchs,10,9,49,64,-15,3,9,0,https://www.youtube.com/c/PokeBazi
Variant Vulpix,11,9,46,65,-19,3,9,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,12,6,34,69,-35,2,10,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
