,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,33,79,50,29,11,3,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,1,33,77,48,29,11,3,0,https://www.youtube.com/user/RegiBang
Enteikutierung,3,27,73,53,20,9,5,0,https://www.youtube.com/c/LaurisEnteitainment
Prekani,4,27,70,58,12,9,5,0,https://www.youtube.com/user/PresentLP
Shocking Shaymins,5,24,72,59,13,8,6,0,https://www.youtube.com/user/MeLevies
Triyolotree,6,24,62,62,0,8,6,0,https://www.youtube.com/user/Minetube
Suicide Squad,7,21,59,61,-2,7,7,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,21,59,63,-4,7,7,0,https://www.youtube.com/user/Cabgolord
Variant Vulpix,9,12,55,72,-17,4,10,0,https://www.youtube.com/user/CrowdController
Surstars,10,12,46,72,-26,4,10,0,https://www.youtube.com/user/SurskitTV
Schnittlauchs,11,9,54,76,-22,3,11,0,https://www.youtube.com/c/PokeBazi
Pyroars of the Carribean,12,9,44,76,-32,3,11,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
