,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,45,103,56,47,15,3,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,2,36,90,68,22,12,6,0,https://www.youtube.com/user/RegiBang
Prekani,3,36,89,71,18,12,6,0,https://www.youtube.com/user/PresentLP
Triyolotree,4,34,86,79,7,11,6,1,https://www.youtube.com/user/Minetube
Enteikutierung,5,33,89,71,18,11,7,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,6,25,88,83,5,8,9,1,https://www.youtube.com/user/MeLevies
Suicide Squad,7,24,77,82,-5,8,10,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,24,75,86,-11,8,10,0,https://www.youtube.com/user/Cabgolord
Surstars,9,19,66,85,-19,6,11,1,https://www.youtube.com/user/SurskitTV
Pyroars of the Carribean,10,17*,64,95,-31,6,12,0,https://www.youtube.com/user/Art'n'Gaming
Schnittlauchs,11,16,75,92,-17,5,12,1,https://www.youtube.com/c/PokeBazi
Variant Vulpix,12,12,62,96,-34,4,14,0,https://www.youtube.com/user/CrowdController

*3 Strikes = 1 Punkt Abzug,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
Die  Tabelle ist aktuell!,,,,,,,,,Kill-Rangliste:
Bei Fehlern: Anschreiben!,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 18
