,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,39,91,53,38,13,3,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,2,36,86,56,30,12,4,0,https://www.youtube.com/user/RegiBang
Enteikutierung,3,30,81,62,19,10,6,0,https://www.youtube.com/c/LaurisEnteitainment
Prekani,4,30,77,67,10,10,6,0,https://www.youtube.com/user/PresentLP
Triyolotree,5,28,74,71,3,9,6,1,https://www.youtube.com/user/Minetube
Shocking Shaymins,6,25,81,71,10,8,7,1,https://www.youtube.com/user/MeLevies
Suicide Squad,7,24,70,70,0,8,8,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,24,68,74,-6,8,8,0,https://www.youtube.com/user/Cabgolord
Surstars,9,16,58,79,-21,5,10,1,https://www.youtube.com/user/SurskitTV
Variant Vulpix,10,12,60,84,-24,4,12,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,11,12,52,86,-34,4,12,0,https://www.youtube.com/user/Art'n'Gaming
Schnittlauchs,12,10,63,88,-25,3,12,1,https://www.youtube.com/c/PokeBazi

Die Tabelle ist aktuell!,,,,,,,,,Spielplan:
Bei Fehlern: Anschreiben!,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 16
