,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Flexing Masskito,1,18,40,20,20,6,1,0,https://www.youtube.com/user/RegiBang
Ritter der Tapukokosnuss,1,18,40,20,20,6,1,0,https://www.youtube.com/user/FullLifeGames
Shocking Shaymins,3,15,36,25,11,5,2,0,https://www.youtube.com/user/MeLevies
Prekani,4,12,35,25,10,4,3,0,https://www.youtube.com/user/PresentLP
Triyolotree,5,12,32,31,1,4,3,0,https://www.youtube.com/user/Minetube
Suicide Squad,6,12,27,29,-2,4,3,0,https://www.youtube.com/user/CaptainCrinch
Enteikutierung,7,9,33,31,2,3,4,0,https://www.youtube.com/c/LaurisEnteitainment
Surstars,8,9,26,33,-7,3,4,0,https://www.youtube.com/user/SurskitTV
Slicing Knights,9,9,23,35,-12,3,4,0,https://www.youtube.com/user/Cabgolord
Schnittlauchs,10,6,29,35,-6,2,5,0,https://www.youtube.com/c/PokeBazi
Variant Vulpix,11,3,22,39,-17,1,6,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,12,3,20,40,-20,1,6,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
