,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,21,46,24,22,7,1,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,2,18,44,26,18,6,2,0,https://www.youtube.com/user/RegiBang
Shocking Shaymins,3,15,40,31,9,5,3,0,https://www.youtube.com/user/MeLevies
Triyolotree,4,15,38,35,3,5,3,0,https://www.youtube.com/user/Minetube
Prekani,5,12,39,31,8,4,4,0,https://www.youtube.com/user/PresentLP
Enteikutierung,6,12,39,34,5,4,4,0,https://www.youtube.com/c/LaurisEnteitainment
Surstars,7,12,32,36,-4,4,4,0,https://www.youtube.com/user/SurskitTV
Suicide Squad,8,12,30,35,-5,4,4,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,9,9,26,41,-15,3,5,0,https://www.youtube.com/user/Cabgolord
Schnittlauchs,10,6,34,41,-7,2,6,0,https://www.youtube.com/c/PokeBazi
Variant Vulpix,11,6,28,43,-15,2,6,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,12,6,26,45,-19,2,6,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
