,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,36,85,52,33,12,3,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,2,33,80,54,26,11,4,0,https://www.youtube.com/user/RegiBang
Enteikutierung,3,30,79,56,23,10,5,0,https://www.youtube.com/c/LaurisEnteitainment
Prekani,4,30,76,61,15,10,5,0,https://www.youtube.com/user/PresentLP
Triyolotree,5,27,68,65,3,9,6,0,https://www.youtube.com/user/Minetube
Shocking Shaymins,6,24,75,65,10,8,7,0,https://www.youtube.com/user/MeLevies
Suicide Squad,7,24,65,64,1,8,7,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,21,62,69,-7,7,8,0,https://www.youtube.com/user/Cabgolord
Surstars,9,15,52,73,-21,5,10,0,https://www.youtube.com/user/SurskitTV
Variant Vulpix,10,12,56,78,-22,4,11,0,https://www.youtube.com/user/CrowdController
Schnittlauchs,11,9,57,82,-25,3,12,0,https://www.youtube.com/c/PokeBazi
Pyroars of the Carribean,12,9,46,82,-36,3,12,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
