,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Prekani,1,3,6,0,6,1,0,0,https://www.youtube.com/user/PresentLP
Flexing Masskito,2,3,6,1,5,1,0,0,https://www.youtube.com/user/RegiBang
Enteikutierung,2,3,6,1,5,1,0,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,2,3,6,1,5,1,0,0,https://www.youtube.com/user/MeLevies
Triyolotree,5,3,6,4,2,1,0,0,https://www.youtube.com/user/Minetube
Suicide Squad,6,3,6,5,1,1,0,0,https://www.youtube.com/user/CaptainCrinch
Variant Vulpix,7,0,5,6,-1,0,1,0,https://www.youtube.com/user/CrowdController
Ritter der Tapukokosnuss,8,0,4,6,-2,0,1,0,https://www.youtube.com/user/FullLifeGames
Slicing Knights,9,0,1,6,-5,0,1,0,https://www.youtube.com/user/Cabgolord
Schnittlauchs,9,0,1,6,-5,0,1,0,https://www.youtube.com/c/PokeBazi
Pyroars of the Carribean,9,0,1,6,-5,0,1,0,https://www.youtube.com/user/Art'n'Gaming
Surstars,12,0,0,6,-6,0,1,0,https://www.youtube.com/user/SurskitTV

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
