,,,,,,,Keifel
,,,,,,,Kingler
,,,,,,,Kinoso
,,,,,,,Kleparda
,,,,,,,Klikdiklak
,,,,,,,Knarksel
,,,,,,,Knogga
,,,,,,,Knuddeluff
,,,,,,,Koalelu
,,,,,,,Kokowei
,,,,,,,Kommandutan
,,,,,,,Kronjuwild
,,,,,,,Kukmarda
,,,,,,,Lamellux
,,,,,,,Lanturn
,,,,,,,Lapras
,,,,,,,Ledian
,,,,,,,Lektrobal
,,,,,,,Lepumentas
,,,,,,,Letarking
,,,,,,,Liebiskus
,,,,,,,Lumineon
,,,,,,,Lunastein
,,,,,,,Luxtra
,,,,,,,Magcargo
,,,,,,,Magnayen
,,,,,,,Manguspektor
,,,,,,,Mantidea
,,,,,,,Maracamba
,,,,,,,Maschock
,,,,,,,Maskeregen
,,,,,,,Matrifol
,,,,,,,Megalon
,,,,,,,Meganie
,,,,,,,Metang
,,,,,,,Miltank
,,,,,,,Minun
,,,,,,,Mogelbaum
,,,,,,,Morbitesse
,,,,,,,Moterpel
,,,,,,,Muntier
,,,,,,,Ninjask
,,,,,,,Ninjatom
,,,,,,,Nockchan
,,,,,,,Noctuh
,,,,,,,Noktuska
,,,,,,,Octillery
,,,,,,,Ohrdoch
,,,,,,,Pachirisu
,,,,,,,Palimpalim
,,,,,,,Pandir
,,,,,,,Panpyro
,,,,,,,Pantimos
,,,,,,,Papinella
,,,,,,,Papungha
,,,,,,,Parasect
,,,,,,,Pelipper (Ohne Niesel)
,,,,,,,Phione
,,,,,,,Piepi
,,,,,,,Pikachu (Jede Form)
,,,,,,,Pinsir
,,,,,,,Plaudagei
,,,,,,,Pliprin 
,,,,,,,Plusle
,,,,,,,Porenta
,,,,,,,Psiaugon-Männlich
,,,,,,,Psiaugon-Weiblich
,,,,,,,Pudox
,,,,,,,Pumpdjinn
,,,,,,,Pyroleo
,,,,,,,Quappo
,,,,,,,Quartermak
,,,,,,,Quaxo (Ohne Niesel)
,,,,,,,Qurtel (Ohne Dürre)
,,,,,,,Raichu
,,,,,,,Rameidon
,,,,,,,Rasaff
,,,,,,,Rattikarl
,,,,,,,Regice
,,,,,,,Regigigas
,,,,,,,Regirock
,,,,,,,Relicanth
,,,,,,,Rexblisar
,,,,,,,Rizeros
,,,,,,,Rocara
,,,,,,,Roselia
,,,,,,,Rossana
,,,,,,,Rotom
,,,,,,,Rotom-Frost
,,,,,,,Rotom-Wirbel
,,,,,,,Saganabyss
,,,,,,,Sandamer
,,,,,,,Sarzenia
,,,,,,,Schlapor
,,,,,,,Schlukwech
,,,,,,,Schlurplek
,,,,,,,Sengo
,,,,,,,Shnurgarst
,,,,,,,Siberio
,,,,,,,Sichlor
,,,,,,,Skallyk
,,,,,,,Skuntank
,,,,,,,Sleimok
,,,,,,,Smettbo
,,,,,,,Snobilikat
,,,,,,,Sodachita
,,,,,,,Somnivora
,,,,,,,Sonnfel
,,,,,,,Sonnflora
,,,,,,,Stahlos
,,,,,,,Stolloss
,,,,,,,Strepoli
,,,,,,,Swaroness
,,,,,,,Tangela
,,,,,,,Tauboss
,,,,,,,Tauros
,,,,,,,Tengulist
,,,,,,,Thanatora
,,,,,,,Togedemaru
,,,,,,,Tortunator
,,,,,,,Traunfugil
,,,,,,,Traunmagil
,,,,,,,Trombork
,,,,,,,Tropius
,,,,,,,Tukanon
,,,,,,,Ursaring
,,,,,,,Vegichita
,,,,,,,Venuflibis
,,,,,,,Vipitis
,,,,,,,Vivillon
,,,,,,,Vivillon-Fancy
,,,,,,,Vivillon-Pokéball
,,,,,,,Volbeat
,,,,,,,Voltenso
,,,,,,,Voluminas
,,,,,,,Vulnona (Ohne Dürre)
,,,,,,,Wailord
,,,,,,,Walreisa
,,,,,,,Welsar
,,,,,,,Wielie
,,,,,,,Wiesenior
,,,,,,,Woingenau
,,,,,,,Wolwerock-Nachtform
,,,,,,,Xatu
,,,,,,,Zebritz
,,,,,,,Zirpeise
,,,,,,,Zwirrfinst

,,,,,,,Zu gut um auf der Liste zu stehen
,,,,,,,Hippoppotas
,,,,,,,Viscargot
