,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,54,121,63,58,18,3,0,https://www.youtube.com/user/FullLifeGames
Prekani,2,45,107,77,30,15,6,0,https://www.youtube.com/user/PresentLP
Triyolotree,3,37,98,91,7,12,8,1,https://www.youtube.com/user/Minetube
Flexing Masskito,4,36,100,86,14,12,9,0,https://www.youtube.com/user/RegiBang
Enteikutierung,5,33,94,89,5,11,10,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,6,31,101,96,5,10,10,1,https://www.youtube.com/user/MeLevies
Suicide Squad,7,27,90,96,-6,9,12,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,27,85,103,-18,9,12,0,https://www.youtube.com/user/Cabgolord
Surstars,9,25,83,97,-14,8,12,1,https://www.youtube.com/user/SurskitTV
Pyroars of the Carribean,10,23*,81,108,-27,8,13,0,https://www.youtube.com/user/Art'n'Gaming
Schnittlauchs,11,19,84,109,-25,6,14,1,https://www.youtube.com/c/PokeBazi
Variant Vulpix,12,18,78,107,-29,6,15,0,https://www.youtube.com/user/CrowdController

*3 Strikes = 1 Punkt Abzug,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
Die Tabelle ist aktuell!,,,,,,,,,Kill-Rangliste:
Bei Fehlern: Bazi Anschreiben!,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 20
