,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,42,97,54,43,14,3,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,2,36,86,62,24,12,5,0,https://www.youtube.com/user/RegiBang
Prekani,3,33,83,70,13,11,6,0,https://www.youtube.com/user/PresentLP
Triyolotree,4,31,80,75,5,10,6,1,https://www.youtube.com/user/Minetube
Enteikutierung,5,30,83,68,15,10,7,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,6,25,86,77,9,8,8,1,https://www.youtube.com/user/MeLevies
Suicide Squad,7,24,73,76,-3,8,9,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,24,72,80,-8,8,9,0,https://www.youtube.com/user/Cabgolord
Surstars,9,19,64,79,-15,6,10,1,https://www.youtube.com/user/SurskitTV
Pyroars of the Carribean,10,15,58,91,-33,5,12,0,https://www.youtube.com/user/Art'n'Gaming
Schnittlauchs,11,13,69,90,-21,4,12,1,https://www.youtube.com/c/PokeBazi
Variant Vulpix,12,12,61,90,-29,4,13,0,https://www.youtube.com/user/CrowdController

Die Tabelle ist aktuell!,,,,,,,,,Spielplan:
Bei Fehlern: Anschreiben!,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 17
