,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Shocking Shaymins,1,6,12,2,10,2,0,0,https://www.youtube.com/user/MeLevies
Flexing Masskito,2,6,12,3,9,2,0,0,https://www.youtube.com/user/RegiBang
Triyolotree,3,6,12,7,5,2,0,0,https://www.youtube.com/user/Minetube
Ritter der Tapukokosnuss,4,3,10,8,2,1,1,0,https://www.youtube.com/user/FullLifeGames
Enteikutierung,5,3,8,7,1,1,1,0,https://www.youtube.com/c/LaurisEnteitainment
Prekani,5,3,7,6,1,1,1,0,https://www.youtube.com/user/PresentLP
Schnittlauchs,7,3,7,7,0,1,1,0,https://www.youtube.com/c/PokeBazi
Surstars,8,3,6,7,-1,1,1,0,https://www.youtube.com/user/SurskitTV
Suicide Squad,9,3,7,11,-4,1,1,0,https://www.youtube.com/user/CaptainCrinch
Variant Vulpix,10,0,8,12,-4,0,2,0,https://www.youtube.com/user/CrowdController
Slicing Knights,11,0,3,12,-9,0,2,0,https://www.youtube.com/user/Cabgolord
Pyroars of the Carribean,12,0,2,12,-10,0,2,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
