,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,24,57,35,22,8,2,0,https://www.youtube.com/user/FullLifeGames
Flexing Masskito,2,24,56,35,21,8,2,0,https://www.youtube.com/user/RegiBang
Prekani,3,18,51,40,11,6,4,0,https://www.youtube.com/user/PresentLP
Suicide Squad,4,18,42,39,3,6,4,0,https://www.youtube.com/user/CaptainCrinch
Triyolotree,5,18,46,44,2,6,4,0,https://www.youtube.com/user/Minetube
Enteikutierung,6,15,49,42,7,5,5,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,7,15,49,43,6,5,5,0,https://www.youtube.com/user/MeLevies
Slicing Knights,8,12,37,49,-12,4,6,0,https://www.youtube.com/user/Cabgolord
Surstars,9,12,35,48,-13,4,6,0,https://www.youtube.com/user/SurskitTV
Schnittlauchs,10,9,44,52,-8,3,7,0,https://www.youtube.com/c/PokeBazi
Variant Vulpix,11,9,39,53,-14,3,7,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,12,6,32,57,-25,2,8,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6













































































,,,537,537
