,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Ritter der Tapukokosnuss,1,51,115,61,54,17,3,0,https://www.youtube.com/user/FullLifeGames
Prekani,2,42,101,74,27,14,6,0,https://www.youtube.com/user/PresentLP
Triyolotree,3,37,94,85,9,12,7,1,https://www.youtube.com/user/Minetube
Flexing Masskito,4,36,97,80,17,12,8,0,https://www.youtube.com/user/RegiBang
Enteikutierung,5,33,91,83,8,11,9,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,6,28,95,93,2,9,10,1,https://www.youtube.com/user/MeLevies
Suicide Squad,7,27,85,90,-5,9,11,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,27,83,97,-14,9,11,0,https://www.youtube.com/user/Cabgolord
Surstars,9,22,77,93,-16,7,12,1,https://www.youtube.com/user/SurskitTV
Pyroars of the Carribean,10,20*,75,103,-28,7,13,0,https://www.youtube.com/user/Art'n'Gaming
Schnittlauchs,11,19,84,103,-19,6,13,1,https://www.youtube.com/c/PokeBazi
Variant Vulpix,12,15,72,107,-35,5,15,0,https://www.youtube.com/user/CrowdController

*3 Strikes = 1 Punkt Abzug,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
Die Tabelle ist aktuell!,,,,,,,,,Kill-Rangliste:
Bei Fehlern: Anschreiben!,,,,,,,,,https://goo.gl/F1IAC6
,,,,,,,,,Stand: Spieltag 20
