,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Flexing Masskito,1,27,62,36,26,9,2,0,https://www.youtube.com/user/RegiBang
Ritter der Tapukokosnuss,2,27,63,39,24,9,2,0,https://www.youtube.com/user/FullLifeGames
Triyolotree,3,21,52,45,7,7,4,0,https://www.youtube.com/user/Minetube
Enteikutierung,4,18,55,45,10,6,5,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,5,18,55,46,9,6,5,0,https://www.youtube.com/user/MeLevies
Prekani,6,18,52,46,6,6,5,0,https://www.youtube.com/user/PresentLP
Suicide Squad,7,18,46,45,1,6,5,0,https://www.youtube.com/user/CaptainCrinch
Slicing Knights,8,15,43,52,-9,5,6,0,https://www.youtube.com/user/Cabgolord
Surstars,9,12,38,54,-16,4,7,0,https://www.youtube.com/user/SurskitTV
Schnittlauchs,10,9,47,58,-11,3,8,0,https://www.youtube.com/c/PokeBazi
Variant Vulpix,11,9,42,59,-17,3,8,0,https://www.youtube.com/user/CrowdController
Pyroars of the Carribean,12,6,33,63,-30,2,9,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6













































































,,,588,588
