,Platz,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
Flexing Masskito,1,30,71,44,27,10,3,0,https://www.youtube.com/user/RegiBang
Ritter der Tapukokosnuss,2,30,73,48,25,10,3,0,https://www.youtube.com/user/FullLifeGames
Enteikutierung,3,24,67,50,17,8,5,0,https://www.youtube.com/c/LaurisEnteitainment
Shocking Shaymins,4,24,67,53,14,8,5,0,https://www.youtube.com/user/MeLevies
Prekani,5,24,64,54,10,8,5,0,https://www.youtube.com/user/PresentLP
Suicide Squad,6,21,55,55,0,7,6,0,https://www.youtube.com/user/CaptainCrinch
Triyolotree,7,21,56,57,-1,7,6,0,https://www.youtube.com/user/Minetube
Slicing Knights,8,18,53,61,-8,6,7,0,https://www.youtube.com/user/Cabgolord
Variant Vulpix,9,12,52,66,-14,4,9,0,https://www.youtube.com/user/CrowdController
Surstars,10,12,44,66,-22,4,9,0,https://www.youtube.com/user/SurskitTV
Schnittlauchs,11,9,52,70,-18,3,10,0,https://www.youtube.com/c/PokeBazi
Pyroars of the Carribean,12,9,40,70,-30,3,10,0,https://www.youtube.com/user/Art'n'Gaming

Bei Fehlern: Anschreiben!,,,,,,,,,Spielplan:
,,,,,,,,,https://goo.gl/Z1baJD
,,,,,,,,,Kill-Rangliste:
,,,,,,,,,https://goo.gl/F1IAC6
