,Hinrunde: Spieltag 1 - 6,,,,Hinrunde: Spieltag 7 - 11,,,,Hinrunde: Spieltag 12 - 17,,,,Hinrunde: Spieltag 18 - 22

,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!,,,,Kämpfe kommen von 13.00 - 18:00 Uhr!

,1. Spieltag - Mittwoch der 15.03.2017,,,,7. Spieltag - Mittwoch der 26.04.2017,,,,12. Spieltag - Mittwoch der 07.06.2017,,,,18. Spieltag - Mittwoch der 19.07.2017

,Asalakoren,0:3,ImpelDownTV,,Suishomaru,3:0,Asalakoren,,ImpelDownTV,3:0,Asalakoren,,Asalakoren,0:3,Suishomaru
,Professor N,2:0,BlackLink,,Dragoon ofDoom,1:0,BraveBird,,BlackLink,1:0,Professor N,,BraveBird,3:0,Dragoon ofDoom
,Leinux,0:3,TheMiiFii,,Glebber,0:6,TabascoTV,,TheMiiFii,6:0,Leinux,,TabascoTV,0:6*,Glebber
,,,,,,,,,,,,,nach regelbruch
,6. Spieltag - Mittwoch der 19.04.2017,,,,,,,,17. Spieltag - Mittwoch der 12.07.2017

,Scoutley,0:2,TabascoTV,,,,,,TabascoTV,2:0,Scoutley
,BraveBird,1:0,Glebber,,,,,,Glebber,1:0,BraveBird
,Asalakoren,0:2,Dragoon ofDoom,,,,,,Dragoon ofDoom,3:0,Asalakoren
,Professor N,0:2,Suishomaru,,,,,,Suishomaru,0:4,Professor N
,Leinux,0:2,ImpelDownTV,,,,,,ImpelDownTV,0:3,Leinux
,TheMiiFii,5:0,BlackLink,,,,,,BlackLink,0:2,TheMiiFii
