,,GPL Pokémon Kill Rang:,,,"
","
"

,,Pokémon,Kills,Einsätze,Kanal,Sp. 1,Sp. 2,Sp. 3,Sp. 4,Sp. 5,Sp. 6,Sp. 7,Sp. 8,Sp. 9,Sp. 10,Sp. 11,Sp. 12,Sp. 13,Sp. 14,Sp. 15,Sp. 16,Sp. 17,Sp. 18,Sp. 19,Sp. 20,Sp. 21,Sp. 22
Rang
104,"0,96",Donphan,1,4,DaumenkinoLP,,0,,,0,,,,,0,,,,,,,,,,,1
125,"-0,01",Florges,0,1,DaumenkinoLP,,,,,,,,,,,,,,,0
51,"1,97",Golbat,2,3,DaumenkinoLP,1,,,0,1
62,"1,95",Heatran,2,5,DaumenkinoLP,0,1,0,,1,,,,,0
38,"2,92",Mamutel,3,8,DaumenkinoLP,0,0,2,0,0,,,,,1,,,,,0,,,,,,0
158,"-0,03",Mega Stolloss,0,3,DaumenkinoLP,0,,0,0
5,"15,94",Meistagrif,16,6,DaumenkinoLP,,4,4,,1,,,,,1,,,,,2,,,,,,4
36,"2,95",Milotic,3,5,DaumenkinoLP,,1,,,2,,,,,0,,,,,0,,,,,,0
99,"0,97",Nachtara,1,3,DaumenkinoLP,1,,0,0
145,"-0,02",Roserade,0,2,DaumenkinoLP, ,,,0
158,"-0,03",Scherox,0,3,DaumenkinoLP,,,0,,,,,,,,,,,,0,,,,,,0
62,"1,95",Victini,2,5,DaumenkinoLP,,0,,1,,,,,,0,,,,,0,,,,,,1
67,"0,99",Admurai,1,1,DiaswordPlay,,,,1
158,"-0,03",Donphan,0,3,DiaswordPlay,,,,0,,,,,0,,,,,,,,,,,0
39,"1,99",Durengard,2,1,DiaswordPlay,,,,,,,,,,,,,,,2
67,"0,99",Golbat,1,1,DiaswordPlay,,,,,,,,,1
125,"-0,01",Kryppuk,0,1,DiaswordPlay,,,,,,,,,,,,,,,,,,,,0
125,"-0,01",Mega-Scherox,0,1,DiaswordPlay,,,,,,,,,0
125,"-0,01",Mega-Voltenso,0,1,DiaswordPlay,,,,,,,,,,,,,,,0
51,"1,97",Porygon-2,2,3,DiaswordPlay,,,,0,,,,,,,,,,,1,,,,,1
158,"-0,03",Rotom-Wasch,0,3,DiaswordPlay,,,,0,,,,,0,,,,,,,,,,,0
83,"0,98",Tentantel,1,2,DiaswordPlay,,,,,,,,,1,,,,,,,,,,,0
58,"1,96",Victini,2,4,DiaswordPlay,,,,1,,,,,0,,,,,,1,,,,,0
125,"-0,01",Viscogon,0,1,DiaswordPlay,,,,,,,,,,,,,,,0
145,"-0,02",Voltula,0,2,DiaswordPlay,,,,0,,,,,,,,,,,0
158,"-0,03",Demeteros-T,0,3,DirtyD64,0,,0,,,0
99,"0,97",Heatran,1,3,DirtyD64,,,,,,0,,,,,,1,,,,,0
83,"0,98",Laschoking,1,2,DirtyD64,0,,1
9,"9,95",Mega Flunkifer,10,5,DirtyD64,6,,3,,,1,,,,,,0,,,,,0
83,"0,98",Nidoking,1,2,DirtyD64,,,0,,,1
36,"2,95",Porygon 2,3,5,DirtyD64,0,,1,,,1,,,,,,1,,,,,0
109,0,Roserade,0,0,DirtyD64
145,"-0,02",Victini,0,2,DirtyD64,0,,0
125,"-0,01",Zobiris,0,1,DirtyD64,0
145,"-0,02",Branawarz,0,2,DirtyD64,,,,,,,,,,,,0,,,,,0
125,"-0,01",Grypheldis,0,1,DirtyD64,,,,,,0
21,"3,98",Manaphy,4,2,DirtyD64,,,,,,,,,,,,2,,,,,2
83,"0,98",Bronzong,1,2,DirtyD64,,,,,,,,,,,,0,,,,,1
51,"1,97",Donphan,2,3,FanmadeLetsPlay,,,,,,,,,,,,,,,1,,0,,,,,1
145,"-0,02",Gastrodon,0,2,FanmadeLetsPlay,,,,,,,,,,,,,,,0,,,,,,,0
28,"2,99",Guardevoir,3,1,FanmadeLetsPlay,,,,,,,,,,,,,,,3
125,"-0,01",Heatran,0,1,FanmadeLetsPlay,,,,,,,,,,,,,,,,,0
17,"5,98",Mega-Meditalis,6,2,FanmadeLetsPlay,,,,,,,,,,,,,,,,,4,,,,,2
83,"0,98",Noktuska,1,2,FanmadeLetsPlay,,,,,,,,,,,,,,,,,0,,,,,1
51,"1,97",Scherox,2,3,FanmadeLetsPlay,,,,,,,,,,,,,,,0,,1,,,,,1
67,"0,99",Smogmog,1,1,FanmadeLetsPlay,,,,,,,,,,,,,,,1
