
,Platz,           Team,,Spieler,Punkte,Kills,Deaths,Differenz,W,D,L
,1,,Victory Instinct,El Scizor & Bene,66,154,89,65,22,0,6
,2,,Voltwizards,Blocki & Nestfloh,48,126,109,17,16,0,12
,3,,Scherzkekse,Dauni Daunstar & Hydronic,42,135,126,9,14,0,14
,4,,Toon World,King Blex & OG DNZ,39,121,132,-11,13,0,15
,5,,Soulblaze,Present & Raizor,39,129,142,-13,13,0,15
,6,,Fen and Gator,Maxi von Vogel & Pokgalaxy,39,119,133,-14,13,0,15
,7,,Royal Bluff,BlackLink & ElektechN9ne,36,121,145,-24,12,0,16
,8,,Akatsuki Amphibianz,Barry D. Sin of Speed & Minetube,27,114,143,-29,9,0,19
