
,Platz,           Team,,Spieler,Punkte,Kills,Deaths,Differenz,W,D,L
,1,,Victory Instinct,Bene,33,76,43,33,11,0,3
,2,,Voltwizards,Nestfloh,27,69,51,18,9,0,5
,3,,Fen and Gator,Pokgalaxy,21,62,64,-2,7,0,7
,4,,Akatsuki Amphibianz,Minetube,18,58,65,-7,6,0,8
,5,,Toon World,OG DNZ,18,62,70,-8,6,0,8
,6,,Soulblaze,Raizor,18,62,72,-10,6,0,8
,7,,Royal Bluff,ElektechN9ne,18,60,71,-11,6,0,8
,8,,Scherzkekse,Hydronic,15,58,71,-13,5,0,9
