,Hinrunde: Spieltag 1-7,,Hinrunde: Spieltag 8-13,,Rückrunde: Spieltag 14-20,,Rückrunde: Spieltag 21-26

,Enteitainment [2 - 0] Leinux      ,,      Burakio [0 - 5] MeLevies,,                       Scarlet [0 - 1] Leinux,,                     Burakio [? - ?] MeLevies
,Diaswordplay [0 - 5] WolvX      ,,           Leinux [1 - 0] Shizumania,,             Diaswordplay [0 - 2] Burakio,,                       Leinux [? - ?] Blacklink
,            Light Gaming [0 - 3] NeverusedShiro  ,,BraveBirdGames [0 - 3] Cabgolord      ,,             Light Gaming [3 - 0] Crowd,,      BraveBirdGames [? - ?] Cabgolord
,        KilluaSan [3 - 0] MeLevies  ,,Enteitainment [2 - 0] TheMiiFii   ,,                  Pyromanix [0 - 5] MeLevies,,                      Scarlet [? - ?] TheMiiFii
,           PokeBree [6 - 0] Shizumania  ,,Diaswordplay [3 - 0] PokeBree,,                   PokeBree [0 - 2] Blacklink,,            Diaswordplay [? - ?] PokeBree
,           TheMiiFii [1 - 0] Cabgolord  ,,Light Gaming [3 - 0] KilluaSan ,,                    TheMiiFii [0 - 2] Cabgolord,,            Light Gaming [? - ?] Pyromanix


,3. Spieltag - Mittwoch der 17.02.2016,,10. Spieltag - Mittwoch der 06.04.2016,,16. Spieltag - Mittwoch der 25.05.2016,,23. Spieltag - Mittwoch der 13.07.2016

,           Kayze [0 - 4] Cabgolord,,        KilluaSan [0 - 3] Kayze         ,,                        Kayze [3 - 0] Cabgolord,,                 Pyromanix [? - ?] Kayze
,  Shizumania [1 - 0] TheMiiFii ,,          PokeBree [0 - 4] Light Gaming,,                    Blacklink [1 - 0] TheMiiFii,,                  PokeBree [? - ?] Light Gaming
,     MeLevies [0 - 1] PokeBree,,           TheMiiFii [0 - 5] Diaswordplay,,                   MeLevies [3 - 0] PokeBree,,                    TheMiiFii [? - ?] Diaswordplay
,NeverusedShiro [4 - 0] KilluaSan     ,,          Cabgolord [2 - 0] Enteitainment,,                        Crowd [5 - 0] Pyromanix,,                  Cabgolord [? - ?] Scarlet
