Hinrunde: Spieltag 1-7,,Hinrunde: Spieltag 8-13,,Rückrunde: Spieltag 14-20,,Rückrunde: Spieltag 21-26

        CaptainCrinch [0 - 1] FullLifeGames,,        CaptainCrinch [0 - 3] FanmadeLetsPlay,,      CaptainCrinch [? - ?] FullLifeGames,,FanmadeLetsPlay [? - ?] CaptainCrinch
                       Regi [0 - 1] Art'n'Gaming,,                 Parsifani [0 - 6] Raizor,,                     Regi [? - ?] Art'n'Gaming,,                   Raizor [? - ?] Parsifani


5. Spieltag - Sonntag der 28.02.2016,,12. Spieltag - Sonntag der 17.04.2016,,18. Spieltag - Sonntag der 05.06.2016,,25. Spieltag - Sonntag der 24.07.2016

             Minetube [2 - 0] Art'n'Gaming,,Minetube [5 - 0] Parsifani,,             Minetube [? - ?] Art'n'Gaming,,             Parsifani [? - ?] Minetube
     FullLifeGames [0 - 2] Regi,,                     Raizor [1 - 0] CaptainCrinch,,     FullLifeGames [? - ?] Regi,,     CaptainCrinch [? - ?] Raizor
           PresentLP [1 - 0] CaptainCrinch,,   FanmadeLetsPlay [2 - 0] Regi,,           PresentLP [? - ?] CaptainCrinch,,                    Regi [? - ?]  FanmadeLetsPlay
              oktopaul [2 - 0] Parsifani,,                      Lauris [0 - 4] Art'n'Gaming,,              oktopaul [? - ?] Parsifani,,       Art'n'Gaming [? - ?] Lauris
            PokéBazi [2 - 0] Raizor,,                       Shiro [1 - 0] FullLifeGames,,             PokéBazi [? - ?] Raizor,,     FullLifeGames [? - ?] Shiro
            SurskitTV [0 - 3] FanmadeLetsPlay,,                SurskitTV [0 - 4] PresentLP,,            SurskitTV [? - ?]  FanmadeLetsPlay,,           PresentLP [? - ?] SurskitTV
                   Shiro [0 - 3] Lauris,,                 PokéBazi [0 - 3] oktopaul,,                   Shiro [? - ?] Lauris,,              oktopaul [? - ?] PokéBazi


6. Spieltag - Sonntag der 06.03.2016,,13. Spieltag - Sonntag der 24.04.2016,,19. Spieltag - Sonntag der 12.06.2016,,26. Spieltag - Sonntag der 31.07.2016

                    Lauris [0 - 3] Minetube,,              Minetube [3 - 0] PokéBazi,,                   Lauris [? - ?] Minetube,,             Minetube [? - ?] PokéBazi
FanmadeLetsPlay [2 - 0] Shiro,,             SurskitTV [0 - 4] oktopaul,,FanmadeLetsPlay [? - ?] Shiro,,            SurskitTV [? - ?] oktopaul
                   Raizor [3 - 0] SurskitTV,,                    Shiro [0 - 5] PresentLP,,                  Raizor [? - ?] SurskitTV,,                    Shiro [? - ?] PresentLP
                Parsifani [0 - 3] PokéBazi,,                    Lauris [0 - 1] FullLifeGames,,               Parsifani [? - ?] PokéBazi,,                   Lauris [? - ?] FullLifeGames
       CaptainCrinch [4 - 0] oktopaul,,FanmadeLetsPlay [4 - 0] Art'n'Gaming,,      CaptainCrinch [? - ?] oktopaul,,FanmadeLetsPlay [? - ?] Art'n'Gaming
                      Regi [3 - 0] PresentLP,,                   Raizor [0 - 6] Regi,,                     Regi [? - ?] PresentLP,,                  Raizor [? - ?] Regi
         Art'n'Gaming [0 - 4] FullLifeGames,,               Parsifani [0 - 1] CaptainCrinch,,        Art'n'Gaming [? - ?] FullLifeGames,,              Parsifani [? - ?] CaptainCrinch


7. Spieltag - Sonntag der 13.03.2016,,,,20. Spieltag - Sonntag der 19.06.2016

             Minetube [2 - 0] FullLifeGames,,,,             Minetube [? - ?] FullLifeGames
           PresentLP [0 - 1]- Art'n'Gaming,,,,           PresentLP [? - ?] Art'n'Gaming
               oktopaul [0 - 3] Regi,,,,              oktopaul [? - ?] Regi
             PokéBazi [2 - 0] CaptainCrinch,,,,             PokéBazi [? - ?] CaptainCrinch
            SurskitTV [0 - 4] Parsifani,,,,            SurskitTV [? - ?] Parsifani
                   Shiro [0 - 5] Raizor,,,,                   Shiro [? - ?] Raizor
                  Lauris [2 - 0] FanmadeLetsPlay,,,,                  Lauris [? - ?] FanmadeLetsPlay
