,Hinrunde: Spieltag 1-7,,Hinrunde: Spieltag 8-13,,Rückrunde: Spieltag 14-20,,Rückrunde: Spieltag 21-26

,Enteitainment [2 - 0] Leinux      ,,      Burakio [0 - 5] MeLevies,,                       Scarlet [0 - 1] Leinux,,                     Burakio [2 - 0] MeLevies
,Diaswordplay [0 - 5] WolvX      ,,           Leinux [1 - 0] Shizumania,,             Diaswordplay [0 - 2] Burakio,,                       Leinux [2 - 0] Blacklink
,            Light Gaming [0 - 3] NeverusedShiro  ,,BraveBirdGames [0 - 3] Cabgolord      ,,             Light Gaming [3 - 0] Crowd,,      BraveBirdGames [0 - 5] Cabgolord
,        KilluaSan [3 - 0] MeLevies  ,,Enteitainment [2 - 0] TheMiiFii   ,,                  Pyromanix [0 - 5] MeLevies,,                      Scarlet [4 - 0] TheMiiFii
,           PokeBree [6 - 0] Shizumania  ,,Diaswordplay [3 - 0] PokeBree,,                   PokeBree [0 - 2] Blacklink,,               Professor N [1 - 0] PokeBree
,           TheMiiFii [1 - 0] Cabgolord  ,,Light Gaming [3 - 0] KilluaSan ,,                    TheMiiFii [0 - 2] Cabgolord,,            Light Gaming [3 - 0] Pyromanix


,3. Spieltag - Mittwoch der 17.02.2016,,10. Spieltag - Mittwoch der 06.04.2016,,16. Spieltag - Mittwoch der 25.05.2016,,23. Spieltag - Mittwoch der 13.07.2016

,           Kayze [0 - 4] Cabgolord,,        KilluaSan [0 - 3] Kayze         ,,                        Kayze [3 - 0] Cabgolord,,                 Pyromanix [3 - 0] PokéKnight
,  Shizumania [1 - 0] TheMiiFii ,,          PokeBree [0 - 4] Light Gaming,,                    Blacklink [1 - 0] TheMiiFii,,                  PokeBree [0 - 3] Light Gaming
,     MeLevies [0 - 1] PokeBree,,           TheMiiFii [0 - 5] Diaswordplay,,                   MeLevies [3 - 0] PokeBree,,                   TheMiiFii [0 - 4] Professor N
,NeverusedShiro [4 - 0] KilluaSan     ,,          Cabgolord [2 - 0] Enteitainment,,                        Crowd [5 - 0] Pyromanix,,                 Cabgolord [0 - 0] Scarlet
,                WolvX [0 - 5] Light Gaming,,             Shizumania [0 - 2] BraveBirdGames,,                      Burakio [2 - 0] Light Gaming,,                    Blacklink [3 - 0] BraveBirdGames
,                Leinux [3 - 0] Diaswordplay,,MeLevies [1 - 0] Leinux,,                        Leinux [0 - 3] Diaswordplay,,                   MeLevies [0 - 4] Leinux
,BraveBirdGames [0 - 6] Enteitainment,, NeverusedShiro [1 - 0] Burakio          ,,       BraveBirdGames [0 - 3] Scarlet,,                        Crowd [4 - 0] Burakio


,4. Spieltag - Mittwoch der 24.02.2016,,11. Spieltag - Mittwoch der 13.04.2016,,17. Spieltag - Mittwoch der 01.06.2016,,24. Spieltag - Mittwoch der 20.07.2016

, Enteitainment [4 - 0] Kayze         ,,                          Kayze [0 - 4] Burakio,,                        Scarlet [0 - 1] Kayze,,                 PokéKnight [3 - 0] Burakio
,          Diaswordplay [4 - 0] BraveBirdGames,,                         Leinux [1 - 0] Crowd,,              Diaswordplay [0 - 3] BraveBirdGames,,                        Leinux [5 - 0] Crowd
,Light Gaming [3 - 0] Leinux      ,,         BraveBirdGames [0 - 4] MeLevies,,              Light Gaming [2 - 0] Leinux,,       BraveBirdGames [0 - 5] MeLevies
, KilluaSan [4 - 0] WolvX ,,              Enteitainment [3 - 0] Shizumania,,                   Pyromanix [0 - 5] Burakio,,                       Scarlet [0 - 6] Blacklink
,               PokeBree [0 - 1] NeverusedShiro,,               Diaswordplay [2 - 0] Cabgolord,,                    PokeBree [1 - 0] Crowd,,              Professor N [2 - 0] Cabgolord
,      TheMiiFii [0 - 3] MeLevies,,               Light Gaming [5 - 0] TheMiiFii,,                     TheMiiFii [0 - 5] MeLevies,,              Light Gaming [5 - 0] TheMiiFii
,       Cabgolord [6 - 0] Shizumania,,                     KilluaSan [3 - 0] PokeBree,,                   Cabgolord [4 - 0] Blacklink,,                   Pyromanix [6 - 0] PokeBree


,5. Spieltag - Mittwoch der 02.03.2016,,12. Spieltag - Mittwoch der 20.04.2016,,18. Spieltag - Mittwoch der 08.06.2016,,25. Spieltag - Mittwoch der 27.07.2016

,                          Kayze [0 - 1] Shizumania,,                    PokeBree [1 - 0] Kayze,,                          Kayze [2 - 0] Blacklink,,                  PokeBree [1 - 0] PokéKnight
,                     MeLevies [0 - 5] Cabgolord,,                     TheMiiFii [0 - 1] KilluaSan,,                     MeLevies [6 - 0] Cabgolord,,                    TheMiiFii [1 - 0] Pyromanix
,           NeverusedShiro [0 - 4] TheMiiFii,,                   Cabgolord [2 - 0] Light Gaming,,                          Crowd [1 - 0] TheMiiFii,,                  Cabgolord [2 - 0] Light Gaming
,                          WolvX [3 - 0] PokeBree,,                  Shizumania [2 - 0] Diaswordplay,,                        Burakio [6 - 0] PokeBree,,                     Blacklink [3 - 0] Professor N
,                          Leinux [4 - 0] KilluaSan,,                     MeLevies [0 - 4] Enteitainment,,                          Leinux [0 - 2] Pyromanix,,                   MeLevies [5 - 0] Scarlet
,          BraveBirdGames [2 - 0] Light Gaming,,                          Crowd [0 - 3] BraveBirdGames,,         BraveBirdGames [0 - 5] Light Gaming,,                        Crowd [3 - 0] BraveBirdGames
,               Enteitainment [0 - 3] Diaswordplay,,                        Burakio [2 - 0] Leinux,,                         Scarlet [0 - 1] Diaswordplay,,                      Burakio [0 - 3] Leinux


,6. Spieltag - Mittwoch der 09.03.2016,,13. Spieltag - Mittwoch der 27.04.2016,,19. Spieltag - Mittwoch der 15.06.2016,,26. Spieltag - Mittwoch der 03.08.2016

,               Diaswordplay [0 - 2] Kayze,,                          Kayze [3 - 0] Leinux,,               Diaswordplay [0 - 1] Kayze,,                PokéKnight [4 - 0] Leinux
,               Light Gaming [4 - 0] Enteitainment,,         BraveBirdGames [4 - 0] Burakio,,               Light Gaming [3 - 0] Scarlet,,        BraveBirdGames [4 - 0] Burakio
,                     KilluaSan [1 - 0] BraveBirdGames,,              Enteitainment [0 - 2] Crowd,,                    Pyromanix [0 - 2] BraveBirdGames,,                        Scarlet [0 - 6] Crowd [Freewin]
,                     PokeBree [0 - 6] Leinux,,               Diaswordplay [0 - 3] MeLevies,,                     PokeBree [0 - 1] Leinux,,               Professor N [6 - 0] MeLevies
,                      TheMiiFii [6 - 0] WolvX,,               Light Gaming [0 - 6] Shizumania,,                      TheMiiFii [0 - 2] Burakio,,              Light Gaming [2 - 0] Blacklink
,                    Cabgolord [0 - 5] NeverusedShiro,,                     KilluaSan [0 - 1] Cabgolord,,                    Cabgolord [0 - 1] Crowd,,                   Pyromanix [0 - 3] Cabgolord
,                   Shizumania [3 - 0] MeLevies,,                    PokeBree [2 - 0] TheMiiFii,,                       Blacklink [0 - 1] MeLevies,,                    PokeBree [2 - 0] TheMiiFii


,7. Spieltag - Mittwoch der 16.03.2016,,,,20. Spieltag - Mittwoch der 22.06.2016

,                          Kayze [0 - 1] MeLevies,,,,                          Kayze [0 - 4] MeLevies
,          NeverusedShiro [0 - 2] Shizumania,,,,                          Crowd [0 - 2] Blacklink
,                       Burakio [0 - 5] Cabgolord,,,,                        Burakio [3 - 0] Cabgolord
,                         Leinux [0 - 3] TheMiiFii,,,,                          Leinux [1 - 0] TheMiiFii
,         BraveBirdGames [2 - 0] PokeBree,,,,          BraveBirdGames [1 - 0] PokeBree
,              Enteitainment [3 - 0] KilluaSan,,,,                          Scarlet [3 - 0] Pyromanix
,               Diaswordplay [0 - 1] Light Gaming,,,,                Diaswordplay [0 - 1] Light Gaming
