
,,,,,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,Minetube,,,,,,,,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,,,,,,,,,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,,,,,,,,,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh,Nestfloh
,,,,,Minetube,,,,,,,,,,,,,,,,,Siege : 10,,,,,,,Present,,,,,,,,,,,,,,,,,Siege : 10,,,,,,,Bene,,,,,,,,,,,,,,,,,Siege : 9,,,,,,,Nestfloh,,,,,,,,,,,,,,,,,Siege : 8

,,,,,Throes Mad,,,,,,,,,,,,,,,,,,,,,,,,Prekani,,,,,,,,,,,,,,,,,,,,,,,,Wackel Backel,,,,,,,,,,,,,,,,,,,,,,,,Böller Brüder
,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 3,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 3,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 4,,,,,,,,,,,,,,,,,,,,,,,,Niederlagen : 5
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,P1,P2,Fin

,,Platz 2,,,S,S,S,N,S,S,S,S,N,S,N,S,S,-,N,N,,Kills,⌀,,,Platz 1,,,N,S,N,S,S,S,S,N,S,S,S,S,S,S,N,S,,Kills,⌀,,,Platz 4,,,S,S,S,S,N,N,S,N,S,S,S,N,S,S,S,S,,Kills,⌀,,,Platz 3,,,S,S,N,N,S,S,S,S,S,N,S,N,N,N,X,X,,Kills,⌀
,Minetube,Ramoth,,,,,,,,,,,,,,,,,0,3,,3,"1,5",,Present,Demeteros-Therian,,,2,,,,1,1,1,2,1,0,2,0,1,2,1,,,14,"1,2",,Bene,Ogerpon-Gestein,,,1,1,0,3,0,0,,,3,3,1,1,,0,0,0,,13,"1,0",,Nestfloh,Katapuldra,,,1,2,1,0,0,1,4,0,0,0,2,,1,1,,,,13,"1,0"
,Minetube,Maskagato,,,1,0,3,0,1,,0,0,2,0,0,,1,,,1,,9,"0,8",,Present,Eisenkrieger,,,,,,,,,,,,,,,,0,1,1,,2,"0,7",,Bene,Voltolos,,,,,,,,,,,,,,,,1,,0,,1,"0,5",,Nestfloh,Ogerpon-Wasser,,,,,,,,,,,,,,,,2,,,,2,"0,0"
,Minetube,Despotar,,,1,0,,0,,1,2,,1,3,0,,,,1,,,9,"1,0",,Present,Arkani,,,,1,2,0,,,,2,1,,,6,,1,,1,,14,"1,8",,Bene,Eisenrad,,,,,,,,,,,,,,,,,,2,,2,"2,0",,Nestfloh,Impoleon,,,0,,,0,1,0,,0,0,,0,,,0,,,,1,"0,1"
,Minetube,Grandiras,,,,5,,3,3,,0,,,0,0,,1,,,,,12,"1,7",,Present,Rotom-Wash,,,0,,1,2,0,1,,2,0,1,1,,0,,0,2,,10,"0,8",,Bene,Volcanion,,,,,,,,,,,,,,,,2,,3,,5,"2,5",,Nestfloh,Pamomamo,,,0,,,0,0,,1,1,0,0,0,0,0,,,,,2,"0,2"
,Minetube,Stalobor,,,,0,0,,2,1,2,1,0,0,0,,0,,3,4,,13,"1,1",,Present,Eisenhals,,,,,,,,,,,,,,,,2,1,0,,3,"1,0",,Bene,Pixi,,,,,,,,,,,,,,,,0,2,2,,4,"1,3",,Nestfloh,Cresselia,,,0,1,,,2,0,,,,0,2,0,,,,,,5,"0,7"
,Minetube,Milotic,,,2,,2,,0,2,,5,0,,,1,0,,,2,,14,"1,6",,Present,Beatori,,,,2,,0,1,0,0,0,2,,0,,,0,,3,,8,"0,8",,Bene,UHaFnir,,,0,,,0,,0,,0,1,,1,2,,2,3,,,9,"1,0",,Nestfloh,Lavados,,,,,0,,1,,0,4,,,,1,2,,,,,8,"1,3"
,Minetube,Panzaeron,,,1,,0,,0,3,2,0,,,0,4,,,0,0,,10,"1,0",,Present,Kobalium,,,0,,,5,,0,1,1,1,0,2,,,,0,5,,15,"1,5",,Bene,Selfe,,,,,,,,,,,,,,,,,0,2,,2,"1,0",,Nestfloh,Grypheldis,,,,,,,,,,,,,,,,,,,,0,"0,0"
,Minetube,Curelei,,,,3,1,,,,,,0,,,0,,,,1,,5,"1,0",,Present,Mopex,,,,0,0,,1,,1,,,,1,,,,,,,3,"0,6",,Bene,Amfira,,,,1,3,,0,1,4,,,,2,3,0,,0,,,14,"1,6",,Nestfloh,Bandelby,,,,,,,,,,,,,,,,0,,,,0,"0,0"
,Minetube,Drifzepeli,,,,,,,,,,,,,,,,,2,7,,9,"4,5",,Present,Rizeros,,,0,5,0,1,2,4,1,,1,3,0,1,2,3,1,6,,30,"2,0",,Bene,Caesurio,,,2,0,3,0,1,2,1,2,,2,0,1,0,3,,7,,24,"1,7",,Nestfloh,Pampross,,,,0,,,,2,0,,,2,,,,,,,,4,"1,0"
,Minetube,Toxiquak,,,,0,0,,,1,,0,0,4,,1,2,,,4,,12,"1,3",,Present,Horrerba,,,,,,,,,,,,,,,,,,5,,5,"5,0",,Bene,Gastrodon,,,,,,,,0,1,0,0,,,,0,,,0,,1,"0,2",,Nestfloh,Alola-Sleimok,,,,,,,,,,,,,,,,1,,,,1,"1,0"
