
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horrerba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feelinara
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snibunna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wampitz
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom-Heat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rameidon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demeteros-Therian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkani
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom-Wash
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatori
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kobalium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mopex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mottineva
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rizeros
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tengulist
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zytomega
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dragoran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snieboss
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servol-w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turtok
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cupidos-Therian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voltrean
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ursaluna
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silvarro
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hisui-Arktilas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alola-Snobilikat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entei
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eisenhaupt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latios
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fatalitcha
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montecarbo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rabigator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aggrostella
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cupidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Registeel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wie-Shu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illumise
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raikou
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kronjuwild
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unfilled
