
,,GPL,,Pokemon 1,Tier 1,Pokemon 2,Tier 2,Pokemon 3,Tier 3,Pokemon 4,Tier 4,Pokemon 5,Tier 5,Pokemon 6,Tier 6,Pokemon 7,Tier 7,Pokemon 8,Tier 8,Pokemon 9,Tier 9,Pokemon 10,Tier 10,Pokemon 11,Tier 11,Pokemon 12,Tier 12,,,,,,,,,C-Tier,B-Tier
,Bene,GPL,1,Ogerpon-Gestein,S-Tier,UHaFnir,B-Tier,Caesurio,C-Tier,Bronzong,B-Tier,Deoxys-Geschwindigkeit,S-Tier,Demeteros,A-Tier,Giflor,D-Tier,Gastrodon,C-Tier,Bailonda,A-Tier,Granforgita,A-Tier,Amfira,B-Tier,unfilled,,,,,,,,,,Bailonda,Riffex
,Blocki,GPL,2,Boreos-Therian,S-Tier,Hisui-Viscogon,A-Tier,Suicune,A-Tier,Galar-Lahmus,B-Tier,Axantor,B-Tier,Panferno,A-Tier,Donphan,C-Tier,Ogerpon,S-Tier,Diancie,B-Tier,Rotom,C-Tier,Calamanero,D-Tier,unfilled,,,,,,,,,,A-Tier,B-Tier
,Dauni,GPL,3,Primarene,A-Tier,Scherox,A-Tier,Donnersichel,S-Tier,Myriador,B-Tier,Ambidiffel,D-Tier,Terrakium,A-Tier,Tenterra,C-Tier,Vesprit,C-Tier,Zapdos,S-Tier,Crimanzo,B-Tier,Zobiris,B-Tier,unfilled,,,,,,,,,,Granforgita,Kolowal
,Domji,GPL,4,Gladimperio,S-Tier,Garados,B-Tier,Pixi,A-Tier,Kapoera,C-Tier,Gortrom,S-Tier,Bandelby,B-Tier,Mamutel,A-Tier,Skelabra,B-Tier,Voltolos-Therian,A-Tier,Psiana,D-Tier,Gewaldro,D-Tier,unfilled,,,,,,,,,,A-Tier,B-Tier
,King Blex,GPL,5,Eisenrad,A-Tier,Eisenhals,A-Tier,Tentoxa,B-Tier,Hoopa-Entfesselt,S-Tier,Pokusan,C-Tier,Fruyal,C-Tier,Hisui-Arkani,A-Tier,Porygon-Z,B-Tier,Eisenhand,S-Tier,Mimigma,B-Tier,Britzigel,D-Tier,unfilled,,,,,,,,,,Amfira,Jirachi
,Minetube,GPL,6,Despotar,A-Tier,Grandiras,A-Tier,Stalobor,A-Tier,Milotic,B-Tier,Traunfugil,D-Tier,Panzaeron,B-Tier,Curelei,B-Tier,Affiti,C-Tier,Mew,S-Tier,Toxiquak,C-Tier,Maskagato,S-Tier,unfilled,,,,,,,,,,B-Tier,S-Tier
,Nestfloh,GPL,7,Katapuldra,S-Tier,Impoleon,A-Tier,Pamomamo,A-Tier,Lumiflora,S-Tier,Arktilas,D-Tier,Lavados,B-Tier,Cresselia,A-Tier,Pampross,C-Tier,Irokex,B-Tier,Guardevoir,B-Tier,Ursaring,C-Tier,unfilled,,,,,,,,,,unfilled,unfilled
,OGDeniz96,GPL,8,Eisenkrieger,S-Tier,Grypheldis,B-Tier,Laschoking,A-Tier,Metagross,A-Tier,Sandfell,B-Tier,Hisui-Admurai,A-Tier,Piepi,C-Tier,Eisenfalter,S-Tier,Trombork,D-Tier,Polaross,B-Tier,Chillabell,C-Tier,unfilled,,,,,,,,,,Boreos-Therian,Ogerpon-Wasser
,Pokgalaxy,GPL,9,Krarmor,A-Tier,Knakrack,S-Tier,Keldeo,A-Tier,Galar-Laschoking,S-Tier,Horrerba,C-Tier,Feelinara,B-Tier,Snibunna,A-Tier,Wampitz,C-Tier,Relaxo,B-Tier,Rotom-Heat,B-Tier,Rameidon,D-Tier,unfilled,,,,,,,,,,S-Tier,S-Tier
,Present,GPL,10,Demeteros-Therian,S-Tier,Arkani,A-Tier,Rotom-Wash,A-Tier,Beatori,B-Tier,Kobalium,B-Tier,Mopex,B-Tier,Mottineva,D-Tier,Rizeros,C-Tier,Tengulist,C-Tier,Zytomega,A-Tier,Dragoran,S-Tier,unfilled,,,,,,,,,,Hisui-Viscogon,Trikephalo
,Raizor,GPL,11,Snieboss,S-Tier,Servol-w,A-Tier,Turtok,B-Tier,Cupidos-Therian,B-Tier,Voltrean,B-Tier,Ursaluna,S-Tier,Silvarro,C-Tier,Hisui-Arktilas,D-Tier,Alola-Snobilikat,C-Tier,Entei,A-Tier,Eisenhaupt,A-Tier,unfilled,,,,,,,,,,A-Tier,A-Tier
,RobinVGC,GPL,12,Latios,S-Tier,Fatalitcha,A-Tier,Montecarbo,C-Tier,Rabigator,B-Tier,Aggrostella,B-Tier,Cupidos,S-Tier,Registeel,B-Tier,Wie-Shu,A-Tier,Illumise,C-Tier,Raikou,A-Tier,Kronjuwild,D-Tier,unfilled,,,,,,,,,,Suicune,Infamomo
,Sirazoa,GPL,13,Riesenzahn,S-Tier,Alola-Vulnona,A-Tier,Brutalanda,A-Tier,Chimstix,C-Tier,Volcanion,A-Tier,Skorgla,C-Tier,Morpeko,D-Tier,Aquana,B-Tier,Riffex,B-Tier,Kolowal,B-Tier,Jirachi,S-Tier,unfilled,,,,,,,,,,A-Tier,A-Tier
,Snomnie,GPL,14,Ogerpon-Wasser,S-Tier,Trikephalo,A-Tier,Infamomo,A-Tier,Liberlo,S-Tier,Florges,B-Tier,Schlurm,B-Tier,Meloetta,B-Tier,Nockchan,D-Tier,Golgantes,D-Tier,Regieleki,A-Tier,Arktos,C-Tier,unfilled,,,,,,,,,,Galar-Lahmus,Liberlo
,,,3,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,B-Tier,S-Tier
,,,4,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,Axantor,Florges
,,,5,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,B-Tier,B-Tier
,,,6,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,Panferno,Schlurm
,,,7,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,A-Tier,B-Tier
,,,8,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,Donphan,Meloetta
,,,9,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,C-Tier,B-Tier
,,,10,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,Ogerpon,Nockchan
,,,11,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,S-Tier,D-Tier
,,,12,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,unfilled,,,,,,,,,,Diancie,Golgantes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Tier,D-Tier
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotom,Regieleki
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C-Tier,A-Tier
,Teilnehmer- feld,Liga,,Runde 1,,Runde 2,,Runde 3,,Runde 4,,Runde 5,,Runde 6,,Runde 7,,Runde 8,,Runde 9,,Runde 10,,Runde 11,,Runde 12,,,,,,,,,,Calamanero,Arktos
