

,,Vesprit,von ,Dauni,,0,,3,,1,,,1,,,1,0,,,,,,6,5,"1,20"
,,Ambidiffel,von ,Dauni,,,0,,,,0,,1,,0,,,,0,,,,1,5,"0,20"
,,Tenterra,von ,Dauni,,,,,0,0,,,,,,,,1,,,,,1,3,"0,33"
,,Scherox,von ,Dauni,,0,6,1,1,0,,1,,0,2,3,3,0,,,,,17,10,"1,70"
,,Myriador,von ,Dauni,,0,,,1,,,,,0,0,,,,,,,,1,3,"0,33"
,,Zapdos,von ,Dauni,,,1,1,2,,0,0,0,1,1,,1,0,,,,,7,10,"0,70"
,,,von ,Dauni,,,,,,,,,,,,,,,,,,,0,0
,,Ogerpon-Gestein,von ,Bene,,1,1,0,3,0,0,,,3,3,1,1,,0,0,0,,13,12,"1,08"
,,Voltolos,von ,Bene,,,,,,,,,,,,,,,1,,0,,1,2,"0,50"
,,Eisenrad,von ,Bene,,,,,,,,,,,,,,,,,2,,2,1,"2,00"
,,Volcanion,von ,Bene,,,,,,,,,,,,,,,2,,3,,5,2,"2,50"
,,Pixi,von ,Bene,,,,,,,,,,,,,,,0,2,2,,4,3,"1,33"
,,UHaFnir,von ,Bene,,0,,,0,,0,,0,1,,1,2,,2,3,,,9,8,"1,13"
,,Selfe,von ,Bene,,,,,,,,,,,,,,,,0,2,,2,2,"1,00"
,,Amfira,von ,Bene,,,1,3,,0,1,4,,,,2,3,0,,0,,,14,9,"1,56"
,,Caesurio,von ,Bene,,2,0,3,0,1,2,1,2,,2,0,1,0,3,,7,,24,13,"1,85"
,,Gastrodon,von ,Bene,,,,,,,0,1,0,0,,,,0,,,0,,1,6,"0,17"
,,Giflor,von ,Bene,,,,,,,,,,,,,,,,1,,,1,1,"1,00"
,,Demeteros,von ,Bene,,2,3,0,1,,,0,,,1,2,,,,,,,9,6,"1,50"
,,Deoxys-Geschwindigkeit,von ,Bene,,,3,,0,1,,0,1,0,0,0,0,2,,,,,7,10,"0,70"
,,Bailonda,von ,Bene,,1,,0,,0,,0,,2,1,,,1,,,,,5,6,"0,83"
,,Granforgita,von ,Bene,,0,0,0,4,,,,0,0,,,,3,,,,,7,6,"1,17"
,,Bronzong,von ,Bene,,,,,,0,,,0,,1,,0,,,,,,1,4,"0,25"
,,Latios,von ,RobinVGC,,1,0,2,1,,0,,,4,0,,0,0,0,,,,8,9,"0,89"
,,Gortrom,von ,RobinVGC,,,,,,,,,,,,,,,,,,,0,0
,,Fatalitcha,von ,RobinVGC,,4,1,0,0,0,0,,0,,2,,1,0,0,,,,8,10,"0,80"
,,Hisui-Viscogon,von ,RobinVGC,,,,,,,,,,,,,,,0,,,,0,1,"0,00"
,,Raikou,von ,RobinVGC,,,0,,,0,2,1,0,0,,1,0,,,,,,4,8,"0,50"
