
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,,8,Mopex,von,Present,,GPL,,0,0,,1,,1,,,,1,,,3,,Prekani,"2,995","2,99503",,,,,,,,,Mopex,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,9,Rizeros,von,Present,,GPL,0,5,0,1,2,4,1,,1,3,0,1,2,20,,Prekani,"19,988","19,98804",,,,,,,,,Rizeros,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,10,Tengulist,von,Present,,GPL,,1,2,,,,,0,,3,,2,,8,,Prekani,"7,995","7,99504",,,,,,,,,Tengulist,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,11,Mottineva,von,Present,,GPL,,,,,,,2,,,,,,0,2,,Prekani,"1,998","1,99805",,,,,,,,,Mottineva,von,Present,,GPL,,,,,,,,,,,,0,,Prekani
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Snieboss,von,Raizor,,GPL,0,0,0,,0,0,1,0,2,0,2,1,4,10,,Unbound Soul,"9,988","9,98801",,,,,,,,,Snieboss,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,2,Ursaluna,von,Raizor,,GPL,3,3,2,3,0,4,0,,,3,,0,2,20,,Unbound Soul,"19,99","19,99001",,,,,,,,,Ursaluna,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,3,Servol-w,von,Raizor,,GPL,,0,,0,,0,,0,0,0,,0,,0,,Unbound Soul,"-0,007","-0,00698",,,,,,,,,Servol-w,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,4,Entei,von,Raizor,,GPL,,,,,3,,0,1,,0,,,0,4,,Unbound Soul,"3,995","3,99502",,,,,,,,,Entei,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,5,Eisenhaupt,von,Raizor,,GPL,3,,,,,,0,3,0,,2,7,0,15,,Unbound Soul,"14,993","14,99302",,,,,,,,,Eisenhaupt,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,6,Turtok,von,Raizor,,GPL,,0,,0,,,,,1,,1,,,2,,Unbound Soul,"1,996","1,99603",,,,,,,,,Turtok,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,7,Cupidos-Therian,von,Raizor,,GPL,0,1,0,4,,,,,,,0,,,5,,Unbound Soul,"4,995","4,99503",,,,,,,,,Cupidos-Therian,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,8,Voltrean,von,Raizor,,GPL,0,,1,,,0,,,,,,,0,1,,Unbound Soul,"0,996","0,99603",,,,,,,,,Voltrean,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,9,Silvarro,von,Raizor,,GPL,,0,0,,2,,0,,,0,0,0,,2,,Unbound Soul,"1,993","1,99304",,,,,,,,,Silvarro,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,10,Alola-Snobilikat,von,Raizor,,GPL,,,,0,1,0,,2,1,1,,0,,5,,Unbound Soul,"4,993","4,99304",,,,,,,,,Alola-Snobilikat,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,11,Hisui-Arktilas,von,Raizor,,GPL,0,,1,1,0,1,0,2,2,,1,,0,8,,Unbound Soul,"7,99","7,99005",,,,,,,,,Hisui-Arktilas,von,Raizor,,GPL,,,,,,,,,,,,0,,Unbound Soul
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Latios,von,RobinVGC,,GPL,1,0,2,1,,0,,,4,0,,0,0,8,,Choice Bandits,"7,991","7,99101",,,,,,,,,Latios,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,2,Cupidos,von,RobinVGC,,GPL,,,0,0,1,,0,0,1,,1,,2,5,,Choice Bandits,"4,992","4,99201",,,,,,,,,Cupidos,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,3,Fatalitcha,von,RobinVGC,,GPL,4,1,0,0,0,0,,0,,2,,1,0,8,,Choice Bandits,"7,99","7,99002",,,,,,,,,Fatalitcha,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,4,Wie-Shu,von,RobinVGC,,GPL,0,1,4,0,,1,4,0,,4,0,0,1,15,,Choice Bandits,"14,989","14,98902",,,,,,,,,Wie-Shu,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,5,Raikou,von,RobinVGC,,GPL,,0,,,0,2,1,0,0,,1,0,,4,,Choice Bandits,"3,992","3,99202",,,,,,,,,Raikou,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,6,Rabigator,von,RobinVGC,,GPL,0,,0,,0,,,6,0,,0,1,0,7,,Choice Bandits,"6,992","6,99203",,,,,,,,,Rabigator,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,7,Aggrostella,von,RobinVGC,,GPL,,,,,1,,1,,,0,,,,2,,Choice Bandits,"1,997","1,99703",,,,,,,,,Aggrostella,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,8,Registeel,von,RobinVGC,,GPL,4,,,,,,0,,1,,0,,,5,,Choice Bandits,"4,996","4,99603",,,,,,,,,Registeel,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,9,Montecarbo,von,RobinVGC,,GPL,,6,0,2,0,6,0,2,0,0,1,0,1,18,,Choice Bandits,"17,988","17,98804",,,,,,,,,Montecarbo,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,10,Illumise,von,RobinVGC,,GPL,1,0,,0,,0,,,,2,,,,3,,Choice Bandits,"2,995","2,99504",,,,,,,,,Illumise,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,11,Kronjuwild,von,RobinVGC,,GPL,,,,,,,,,,,,,,0,,Choice Bandits,0,"0,00005",,,,,,,,,Kronjuwild,von,RobinVGC,,GPL,,,,,,,,,,,,0,,Choice Bandits
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Riesenzahn,von,Sirazoa,,GPL,1,1,0,2,,0,0,,4,0,0,1,1,10,,Eon Engine,"9,989","9,98901",,,,,,,,,Riesenzahn,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,2,Jirachi,von,Sirazoa,,GPL,,,1,3,1,,,0,0,0,0,1,0,6,,Eon Engine,"5,991","5,99101",,,,,,,,,Jirachi,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,3,Alola-Vulnona,von,Sirazoa,,GPL,4,1,0,2,,2,2,0,,2,,0,1,14,,Eon Engine,"13,99","13,99002",,,,,,,,,Alola-Vulnona,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,4,Brutalanda,von,Sirazoa,,GPL,,1,0,,,,1,0,0,0,,0,,2,,Eon Engine,"1,993","1,99302",,,,,,,,,Brutalanda,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,5,Volcanion,von,Sirazoa,,GPL,1,0,,,,3,2,2,0,0,0,0,,8,,Eon Engine,"7,991","7,99102",,,,,,,,,Volcanion,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,6,Aquana,von,Sirazoa,,GPL,,,0,0,0,,0,,,,1,,0,1,,Eon Engine,"0,994","0,99403",,,,,,,,,Aquana,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,7,Riffex,von,Sirazoa,,GPL,,,,,1,,0,,1,,0,,,2,,Eon Engine,"1,996","1,99603",,,,,,,,,Riffex,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,8,Kolowal,von,Sirazoa,,GPL,2,,,1,1,3,,2,,0,,,0,9,,Eon Engine,"8,993","8,99303",,,,,,,,,Kolowal,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,9,Chimstix,von,Sirazoa,,GPL,,0,,0,1,,,0,,,,,,1,,Eon Engine,"0,996","0,99604",,,,,,,,,Chimstix,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,10,Skorgla,von,Sirazoa,,GPL,0,0,0,,1,0,,,0,,0,2,0,3,,Eon Engine,"2,991","2,99104",,,,,,,,,Skorgla,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,11,Morpeko,von,Sirazoa,,GPL,0,,,,,0,,,,,,,,0,,Eon Engine,"-0,002","-0,00195",,,,,,,,,Morpeko,von,Sirazoa,,GPL,,,,,,,,,,,,0,,Eon Engine
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Ogerpon-Wasser,von,Snomnie,,GPL,0,0,1,4,4,1,1,3,1,2,1,0,0,18,,Corvi Crushers,"17,987","17,98701",,,,,,,,,Ogerpon-Wasser,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,2,Liberlo,von,Snomnie,,GPL,0,2,,0,0,,0,,3,3,0,,1,9,,Corvi Crushers,"8,991","8,99101",,,,,,,,,Liberlo,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,3,Trikephalo,von,Snomnie,,GPL,,1,2,1,,0,1,,1,2,0,2,,10,,Corvi Crushers,"9,991","9,99102",,,,,,,,,Trikephalo,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,4,Infamomo,von,Snomnie,,GPL,5,,1,,,,,1,0,,,1,1,9,,Corvi Crushers,"8,994","8,99402",,,,,,,,,Infamomo,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,5,Regieleki,von,Snomnie,,GPL,1,,,1,0,0,,0,,0,2,1,,5,,Corvi Crushers,"4,992","4,99202",,,,,,,,,Regieleki,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,6,Florges,von,Snomnie,,GPL,0,,1,0,,,0,0,,,,,,1,,Corvi Crushers,"0,995","0,99503",,,,,,,,,Florges,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,7,Schlurm,von,Snomnie,,GPL,,,0,,0,1,0,1,0,,0,,0,2,,Corvi Crushers,"1,992","1,99203",,,,,,,,,Schlurm,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,8,Meloetta,von,Snomnie,,GPL,,0,,,,,,,,0,,1,0,1,,Corvi Crushers,"0,996","0,99603",,,,,,,,,Meloetta,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,9,Golgantes,von,Snomnie,,GPL,,2,,,1,,0,,,,,,,3,,Corvi Crushers,"2,997","2,99705",,,,,,,,,Golgantes,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,10,Arktos,von,Snomnie,,GPL,0,3,1,,1,4,,,1,0,2,4,2,18,,Corvi Crushers,"17,99","17,99004",,,,,,,,,Arktos,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,11,Nockchan,von,Snomnie,,GPL,,,,1,,0,,1,,,,,,2,,Corvi Crushers,"1,997","1,99705",,,,,,,,,Nockchan,von,Snomnie,,GPL,,,,,,,,,,,,0,,Corvi Crushers
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,2,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,3,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,4,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,5,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,6,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,7,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,8,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,9,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,10,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,11,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100

,1,,Ursaluna,von,Raizor,,GPL,3,3,2,3,0,4,0,,,3,,0,2,20,,Unbound Soul,"19,99","19,99001",,,Bene,,,,1,,Ogerpon-Gestein,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,1,,Rizeros,von,Present,,GPL,0,5,0,1,2,4,1,,1,3,0,1,2,20,,Prekani,"19,988","19,98804",,,Blocki,,,,1,,Deoxys-Geschwindigkeit,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,3,,Arktos,von,Snomnie,,GPL,0,3,1,,1,4,,,1,0,2,4,2,18,,Corvi Crushers,"17,99","17,99004",,,Dauni,,,,1,,Demeteros,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,3,,Hisui-Viscogon,von,Blocki,,GPL,0,4,0,3,,2,2,3,1,,,2,1,18,,Kastanienbomber,"17,99","17,99002",,,Domji,,,,1,,Bailonda,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,3,,Montecarbo,von,RobinVGC,,GPL,,6,0,2,0,6,0,2,0,0,1,0,1,18,,Choice Bandits,"17,988","17,98804",,,King Blex,,,,1,,Granforgita,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,3,,Ogerpon-Wasser,von,Snomnie,,GPL,0,0,1,4,4,1,1,3,1,2,1,0,0,18,,Corvi Crushers,"17,987","17,98701",,,Minetube,,,,1,,UHaFnir,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,7,,Wampitz,von,Pokgalaxy,,GPL,,,2,3,,,,9,1,0,2,,,17,,Tails of Mystery,"16,994","16,99404",,,Nestfloh,,,,1,,Bronzong,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,7,,Scherox,von,Dauni,,GPL,0,6,1,1,0,,1,,0,2,3,3,0,17,,Pfundskerle,"16,989","16,98902",,,OGDeniz96,,,,1,,Amfira,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,7,,Mamutel,von,Domji,,GPL,0,3,,1,2,,1,1,2,4,1,2,0,17,,Shining Legends,"16,989","16,98902",,,Pokgalaxy,,,,1,,Caesurio,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,10,,Lumiflora,von,Nestfloh,,GPL,,,1,3,,5,0,2,2,,2,1,0,16,,Böller Brüder,"15,991","15,99101",,,Present,,,,1,,Gastrodon,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,10,,Knakrack,von,Pokgalaxy,,GPL,0,1,2,2,0,1,5,1,0,,1,3,,16,,Tails of Mystery,"15,989","15,98901",,,Raizor,,,,1,,Giflor,von,Bene,,GPL,,,,,,,,,,,,0,,Wackel Backel
,10,,Terrakium,von,Dauni,,GPL,4,1,0,4,1,0,2,4,0,,0,0,0,16,,Pfundskerle,"15,988","15,98802",,,RobinVGC,,,,1,,Boreos-Therian,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,10,,Eisenkrieger,von,OGDeniz96,,GPL,3,0,0,3,4,0,1,1,0,3,,0,1,16,,Squid Squad,"15,988","15,98801",,,Sirazoa,,,,1,,Ogerpon,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,14,,Eisenhaupt,von,Raizor,,GPL,3,,,,,,0,3,0,,2,7,0,15,,Unbound Soul,"14,993","14,99302",,,Snomnie,,,,1,,Hisui-Viscogon,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,14,,Wie-Shu,von,RobinVGC,,GPL,0,1,4,0,,1,4,0,,4,0,0,1,15,,Choice Bandits,"14,989","14,98902",,,,,,,1,,Suicune,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,16,,Amfira,von,Bene,,GPL,,1,3,,0,1,4,,,,2,3,0,14,,Wackel Backel,"13,992","13,99203",,,,,,,1,,Panferno,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,16,,Polaross,von,OGDeniz96,,GPL,,2,2,2,,5,,,,2,0,0,1,14,,Squid Squad,"13,992","13,99203",,,,,,,1,,Galar-Lahmus,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
,16,,Eisenrad,von,King Blex,,GPL,0,3,4,0,0,,,0,,2,3,2,,14,,Cyber End Jugulis,"13,991","13,99102",,,,,,,1,,Axantor,von,Blocki,,GPL,,,,,,,,,,,,0,,Kastanienbomber
