
,Killliste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Backel Gefackel Punkte
,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Sp 12,Sp 13,Kills Gesamt,Team,,Quote,,,,,,,,Rang,,Pokemon,,,,Liga,Sp 1,Sp 2,Sp 3,Sp 4,Sp 5,Sp 6,Sp 7,Sp 8,Sp 9,Sp 10,Sp 11,Punkte Gesamt,Team
,,3,Primarene,von,Dauni,,GPL,0,3,0,,0,2,0,4,1,1,2,,1,14,,Pfundskerle,"13,989","13,98902",,,,,,,,,Primarene,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,4,Scherox,von,Dauni,,GPL,0,6,1,1,0,,1,,0,2,3,3,0,17,,Pfundskerle,"16,989","16,98902",,,,,,,,,Scherox,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,5,Terrakium,von,Dauni,,GPL,4,1,0,4,1,0,2,4,0,,0,0,0,16,,Pfundskerle,"15,988","15,98802",,,,,,,,,Terrakium,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,6,Myriador,von,Dauni,,GPL,0,,,1,,,,,0,0,,,,1,,Pfundskerle,"0,996","0,99603",,,,,,,,,Myriador,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,7,Crimanzo,von,Dauni,,GPL,,,1,,,0,1,,,,0,4,,6,,Pfundskerle,"5,995","5,99503",,,,,,,,,Crimanzo,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,8,Zobiris,von,Dauni,,GPL,,,,0,,0,,1,,0,,0,,1,,Pfundskerle,"0,995","0,99503",,,,,,,,,Zobiris,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,9,Tenterra,von,Dauni,,GPL,,,,0,0,,,,,,,,1,1,,Pfundskerle,"0,997","0,99704",,,,,,,,,Tenterra,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,10,Vesprit,von,Dauni,,GPL,0,,3,,1,,,1,,,1,0,,6,,Pfundskerle,"5,994","5,99404",,,,,,,,,Vesprit,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,11,Ambidiffel,von,Dauni,,GPL,,0,,,,0,,1,,0,,,,1,,Pfundskerle,"0,996","0,99605",,,,,,,,,Ambidiffel,von,Dauni,,GPL,,,,,,,,,,,,0,,Pfundskerle
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Gladimperio,von,Domji,,GPL,1,,0,,0,5,,0,1,,0,,,7,,Shining Legends,"6,993","6,99301",,,,,,,,,Gladimperio,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,2,Gortrom,von,Domji,,GPL,2,1,0,,,0,,0,,2,1,1,0,7,,Shining Legends,"6,991","6,99101",,,,,,,,,Gortrom,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,3,Pixi,von,Domji,,GPL,0,,0,1,,0,0,1,1,0,,0,0,3,,Shining Legends,"2,99","2,99002",,,,,,,,,Pixi,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,4,Mamutel,von,Domji,,GPL,0,3,,1,2,,1,1,2,4,1,2,0,17,,Shining Legends,"16,989","16,98902",,,,,,,,,Mamutel,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,5,Voltolos-Therian,von,Domji,,GPL,0,1,,3,,0,,1,0,1,,,0,6,,Shining Legends,"5,992","5,99202",,,,,,,,,Voltolos-Therian,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,6,Garados,von,Domji,,GPL,,,1,,0,,,,,,,0,0,1,,Shining Legends,"0,996","0,99603",,,,,,,,,Garados,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,7,Bandelby,von,Domji,,GPL,0,0,,0,0,,,,,0,,,,0,,Shining Legends,"-0,005","-0,00497",,,,,,,,,Bandelby,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,8,Skelabra,von,Domji,,GPL,,3,0,2,0,3,1,,0,,2,,,11,,Shining Legends,"10,992","10,99203",,,,,,,,,Skelabra,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,9,Kapoera,von,Domji,,GPL,,,,2,0,1,0,,0,1,1,0,,5,,Shining Legends,"4,992","4,99204",,,,,,,,,Kapoera,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,10,Gewaldro,von,Domji,,GPL,,,,,,,0,,,,,0,,0,,Shining Legends,"-0,002","-0,00195",,,,,,,,,Gewaldro,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,11,Psiana,von,Domji,,GPL,,0,1,,,,0,0,,,1,,1,3,,Shining Legends,"2,994","2,99405",,,,,,,,,Psiana,von,Domji,,GPL,,,,,,,,,,,,0,,Shining Legends
,,12,,von,,,,,,,,,,,,,,,,,0,,,0,-100,,,,,,,,,,von,,,,,,,,,,,,,,,-100
,,1,Hoopa-Entfesselt,von,King Blex,,GPL,0,,,2,,1,0,,0,,1,,3,7,,Cyber End Jugulis,"6,993","6,99301",,,,,,,,,Hoopa-Entfesselt,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,2,Eisenhand,von,King Blex,,GPL,3,1,0,1,0,,1,4,1,0,1,0,1,13,,Cyber End Jugulis,"12,988","12,98801",,,,,,,,,Eisenhand,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,3,Eisenrad,von,King Blex,,GPL,0,3,4,0,0,,,0,,2,3,2,,14,,Cyber End Jugulis,"13,991","13,99102",,,,,,,,,Eisenrad,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,4,Eisenhals,von,King Blex,,GPL,1,0,1,2,2,0,0,,1,,1,2,2,12,,Cyber End Jugulis,"11,989","11,98902",,,,,,,,,Eisenhals,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
,,5,Hisui-Arkani,von,King Blex,,GPL,,,,,1,1,2,3,0,0,0,,0,7,,Cyber End Jugulis,"6,992","6,99202",,,,,,,,,Hisui-Arkani,von,King Blex,,GPL,,,,,,,,,,,,0,,Cyber End Jugulis
