
,,,,,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,Bene,,,,,,,,,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,Blocki,,,,,,,,,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,Dauni,,,,,,,,,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji,Domji
,,,,,Bene,,,,,,,,,,,,,,Siege : 9,,,,,,,Blocki,,,,,,,,,,,,,,Siege : 3,,,,,,,Dauni,,,,,,,,,,,,,,Siege : 8,,,,,,,Domji,,,,,,,,,,,,,,Siege : 5


,,,,,Wackel Backel,,,,,,,,,,,,,,Niederlagen : 4,,,,,,,Kastanienbomber,,,,,,,,,,,,,,Niederlagen : 10,,,,,,,Pfundskerle,,,,,,,,,,,,,,Niederlagen : 5,,,,,,,Shining Legends,,,,,,,,,,,,,,Niederlagen : 8
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13

,,Platz 4,,,S,S,S,S,N,N,S,N,S,S,S,N,S,,Kills,⌀,,,Platz 14,,,N,N,N,N,N,S,S,N,N,N,N,S,N,,Kills,⌀,,,Platz ,,,N,S,S,S,N,N,N,S,S,N,S,S,S,,Kills,⌀,,,Platz ,,,N,S,N,S,N,S,N,N,N,S,S,N,N,,Kills,⌀
,,,,,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,Sirazoa,,,,,,,,,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,OGDeniz96,,,,,,,,,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,Pokgalaxy,,,,,,,,,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present,Present
,,,,,Sirazoa,,,,,,,,,,,,,,Siege : 3,,,,,,,OGDeniz96,,,,,,,,,,,,,,Siege : 5,,,,,,,Pokgalaxy,,,,,,,,,,,,,,Siege : 6,,,,,,,Present,,,,,,,,,,,,,,Siege : 10


,,,,,Eon Engine,,,,,,,,,,,,,,Niederlagen : 10,,,,,,,Squid Squad,,,,,,,,,,,,,,Niederlagen : 8,,,,,,,Tails of Mystery,,,,,,,,,,,,,,Niederlagen : 7,,,,,,,Prekani,,,,,,,,,,,,,,Niederlagen : 3
,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13

,,Platz 13,,,S,N,N,S,N,S,N,N,N,N,N,N,N,,Kills,⌀,,,Platz ,,,N,N,N,S,S,N,N,S,N,S,N,S,N,,Kills,⌀,,,Platz ,,,N,N,S,N,S,N,S,S,N,S,N,N,S,,Kills,⌀,,,Platz 1,,,N,S,N,S,S,S,S,N,S,S,S,S,S,,Kills,⌀
,Sirazoa,Riesenzahn,,,1,1,0,2,,0,0,,4,0,0,,,,8,"0,9",,OGDeniz96,Eisenkrieger,,,3,0,0,3,4,0,1,1,0,3,,,,,15,"1,5",,Pokgalaxy,Knakrack,,,0,1,2,2,0,1,5,1,0,,1,,,,13,"1,3",,Present,Demeteros-Therian,,,2,,,,1,1,1,2,1,0,2,,,,10,"1,3"
,Sirazoa,Jirachi,,,,,1,3,1,,,0,0,0,0,,,,5,"0,7",,OGDeniz96,Eisenfalter,,,0,0,1,,1,,1,,1,,1,,,,5,"0,7",,Pokgalaxy,Galar-Laschoking,,,3,1,1,0,1,,0,0,1,0,0,,,,7,"0,7",,Present,Dragoran,,,0,,0,,1,2,,,,,,,,,3,"0,8"
