,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
67,Wie-Shu,,3,2,"0,67",,,,,,,,0,,1,,,1,,,Pillar Mons,https://www.youtube.com/user/RegiBang,"2,000666667"
60,Rabigator,,9,3,"0,33",0,0,,0,0,,,,2,1,0,0,0,,,Pillar Mons,https://www.youtube.com/user/RegiBang,"3,000333333"
40,Cerapendra,,4,5,"1,25",,,1,1,2,,1,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang,"5,00125"
48,Elezard,,6,4,"0,67",,1,,,,0,,,1,1,1,,0,,,Pillar Mons,https://www.youtube.com/user/RegiBang,"4,000666667"
59,Silvarro,,7,3,"0,43",2,,,,,,1,0,0,,0,0,,0,,Pillar Mons,https://www.youtube.com/user/RegiBang,"3,000428571"
81,Amoroso,,2,1,"0,50",,,,,,,,,1,,,,,0,,Pillar Mons,https://www.youtube.com/user/RegiBang,"1,0005"
81,Flamara,,2,1,"0,50",,,,,,,,0,,,,1,,,,Pillar Mons,https://www.youtube.com/user/RegiBang,"1,0005"
98,Heatran,,7,0,"0,00",0,0,0,0,0,0,0,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang,0
98,Lucario,,3,0,"0,00",,0,0,,,0,,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang,0
39,Smogmog,,3,5,"1,67",0,,,,4,1,,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang,"5,001666667"
98,Togetic,,0,0,,,,,,,,,,,,,,,,,Pillar Mons,https://www.youtube.com/user/RegiBang,0
7,Demeteros-T,,14,13,"0,93",1,1,3,1,2,0,1,1,1,1,0,0,1,0,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"13,00092857"
5,Zeraora,,7,13,"1,86",,,,,,,,2,2,4,0,0,3,2,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"13,00185714"
44,Laschoking,,14,5,"0,36",0,1,1,0,0,0,0,1,0,0,0,1,1,0,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"5,000357143"
11,Kopplosio,,8,11,"1,38",,0,1,2,,,0,1,0,,6,1,,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"11,001375"
65,Roserade,,2,2,"1,00",,,,,,,,,1,,,,1,,,Victini Bottom,https://www.youtube.com/user/FullLifeGames,"2,001"
