Platz,Team,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
1,End Level Hydreigon,30,75,48,27,10,4,0,https://www.youtube.com/user/KingBlex
2,Kastanienbomber,27,68,65,3,9,5,0,https://www.youtube.com/user/Blocki
3,Holy Fairies,21,65,63,2,7,7,0,https://www.youtube.com/user/SinOfSpeed
3,Rexcalybur,21,65,63,2,7,7,0,https://www.youtube.com/user/MaxiVonVogel
5,Abyssal Nightmare,21,63,65,-2,7,7,0,https://www.youtube.com/user/BlackLink
6,Soulstealer,21,61,64,-3,7,7,0,https://www.youtube.com/user/Raizor
7,Chasing Cinderaces,18,58,60,-2,6,8,0,https://www.youtube.com/user/OGDNZ
8,Issotop,9,50,77,-27,3,11,0,https://www.youtube.com/user/Pokgalaxy
