


,,,Nestfloh,,,,,,,,,,,,,,,Wins:   8,,,,,,Dauni Daunstar,,,,,,,,,,,,,,,Wins:   7
,,,https://www.youtube.com/user/Nestfloh,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/user/DauniDaunstar
,,,,,,,,,,,,,,,,,,,gesamte Matches,14,,,,,,,,,,,,,,,,,,,,gesamte Matches,14
,Flutschige Zäpfchen,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 6,,,,Glückspilze,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 7
,,,,W,L,L,L,L,W,W,W,W,L,W,L,W,W,,,,,,,,L,W,W,L,W,L,W,L,W,W,L,L,W,L
,Platz 2,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match,,Platz 4,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match
,S,Terrakium,,0,1,,3,1,,3,3,,,0,,3,,8,14,"1,75",,S,Kapu-Riki,,0,3,1,1,0,1,0,1,2,1,1,2,,,12,13,"1,08"
,S,Krarmor,,,,,,,,,0,6,,2,1,1,0,6,10,"1,67",,S,Mamutel,,,1,2,0,,,1,,4,1,2,1,0,2,10,14,"1,40"
,A,Kyurem,,6,,1,,0,0,0,1,,1,,0,0,1,10,10,"1,00",,A,Lavados,,,,,,,,,0,,0,0,0,0,0,6,0,"0,00"
,A,Sumpex,,0,,3,0,,,0,1,0,,,0,0,1,9,5,"0,56",,A,Gengar,,0,1,0,,0,1,,,,,,,2,0,7,4,"0,57"
,B,Arkani,,,0,,0,1,2,1,,0,1,1,0,1,1,11,8,"0,73",,B,Kobalium,,,1,1,2,2,,0,,0,1,1,0,,,9,8,"0,89"
,B,Silembrim,,,,1,,0,1,,,,0,,3,,,5,5,"1,00",,B,Galar-Smogmog,,,,,0,2,,0,0,0,,1,,1,,7,4,"0,57"
,B,Barrakiefa,,,0,,0,1,1,2,1,0,2,,0,,,9,7,"0,78",,B,Krebutack,,1,,2,,,0,5,2,,,,,3,1,7,14,"2,00"
,C,Amigento-Unlicht,,,,,,,,,,0,,1,,,,2,1,"0,50",,C,Lanturn,,0,0,,0,1,0,0,,0,,,0,,,8,1,"0,13"
,C,Elfun,,0,0,0,,0,0,,,,0,,,,2,7,2,"0,29",,C,Selfe,,,,0,1,1,0,,,,1,,1,,,6,4,"0,67"
,C,Voltula,,,,,,,,,,0,0,1,,1,,4,2,"0,50",,C,Amigento-Normal,,,,,,,,,1,0,2,,,0,0,5,3,"0,60"
,D,Trombork,,,,,,,,,0,,,1,,,1,3,2,"0,67",,D,Alola-Kokowei,,1,,,,,,,0,,,,,,0,3,1,"0,33"
,Out,Kaguron,,0,0,0,0,,2,,,,,,,,,5,2,"0,40",,Out,Grypheldis,,1,0,,,,,,,,,,,,,2,1,"0,50"
,Out,Fruyal,,0,,,1,,,0,,,,,,,,3,1,"0,33",,Out,Kangama,,,,,,,0,,,,,,,,,1,0,"0,00"
,Out,Bisofank,,,1,,,,,,,,,,,,,1,1,"1,00",,Out,, ,,,,,,,,,,,,,,,0,0
,Out,Raichu,,,,0,,,,,,,,,,,,1,0,"0,00",,Out,, ,,,,,,,,,,,,,,,0,0

,,,RegiBang,,,,,,,,,,,,,,,Wins:   4,,,,,,Bene,,,,,,,,,,,,,,,Wins:   13
,,,https://www.youtube.com/user/RegiBang,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/user/FullLifeGames
,,,,,,,,,,,,,,,,,,,gesamte Matches,14,,,,,,,,,,,,,,,,,,,,gesamte Matches,14
,Pillar Mons,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 10,,,,Victini Bottom,,Spieltag: ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Loses: 1
,,,,L,L,L,W,W,L,L,L,L,W,L,W,L,L,,,,,,,,W,W,W,W,W,W,L,W,W,W,W,W,W,W
,Platz 8,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match,,Platz 1,,,Kills am Spieltag,,,,,,,,,,,,,,Matches,Kills,Kills pro Match
,S,Kaguron,,,,,,,,,0,1,0,,3,1,0,6,5,"0,83",,S,Demeteros-T,,1,1,3,1,2,0,1,1,1,1,0,0,1,0,14,13,"0,93"
,S,Snibunna,,0,3,1,2,0,1,1,0,0,1,1,1,,0,13,11,"0,85",,S,Zeraora,,,,,,,,,2,2,4,0,0,3,2,7,13,"1,86"
,A,Latias,,,1,2,1,,1,0,0,,,0,,2,0,9,7,"0,78",,A,Laschoking,,0,1,1,0,0,0,0,1,0,0,0,1,1,0,14,5,"0,36"
,A,Kapu-Kime,,0,,0,2,0,,0,,,2,0,1,2,0,10,7,"0,70",,A,Kopplosio,,,0,1,2,,,0,1,0,,6,1,,,8,11,"1,38"
