,,,,,,"Hier wird aufgezeigt, wie viele Kills ein Pokémon an einem gewissen Spieltag gemacht hat"

Rang,Pokémon,Icon,Kämpfe,Kills,Kills pro Kampf,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Team,,YouTube
1,Katapuldra,,9,20,"2,22",2,2,1,,,1,3,3,1,,,,1,6,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
2,Zeraora,,14,18,"1,29",1,1,0,3,1,5,1,0,3,0,1,1,1,0,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
3,Latias,,13,17,"1,31",3,0,2,2,2,0,0,0,1,2,0,3,,2,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
4,Galar-Zapdos,,13,15,"1,15",2,3,0,0,1,1,2,,1,1,1,2,1,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
5,Amigento-Normal,,9,14,"1,56",,,1,3,,4,4,0,0,0,0,,,2,,Kastanienbomber,https://www.youtube.com/user/Blocki
6,Kaguron,,10,13,"1,30",4,,3,,1,,1,2,0,1,0,1,,0,,Soulstealer,https://www.youtube.com/user/Raizor
7,Wie-Shu,,6,12,"2,00",,,,,2,,4,0,1,,,1,4,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
8,Wulaosu-Fließend,,12,12,"1,00",0,0,0,1,,1,2,3,1,1,0,,2,1,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
9,Hutsassa,,9,11,"1,22",4,1,,,2,0,,,1,1,1,1,0,,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
9,Primarene,,9,11,"1,22",1,3,,,0,1,0,,1,,,2,1,2,,Kastanienbomber,https://www.youtube.com/user/Blocki
11,Arkani,,11,11,"1,00",,0,1,0,2,2,1,1,3,0,1,,,0,,Holy Fairies,https://www.youtube.com/user/SinOfSpeed
11,Katagami,,11,11,"1,00",0,3,2,0,0,1,0,1,,1,,3,0,,,Issotop,https://www.youtube.com/user/Pokgalaxy
11,Metagross,,11,11,"1,00",5,2,1,0,0,,1,0,1,,0,1,,0,,Kastanienbomber,https://www.youtube.com/user/Blocki
14,Tohaido,,4,10,"2,50",,3,2,,,0,,,,,,,,5,,End Level Hydreigon,https://www.youtube.com/user/KingBlex
15,Kyurem,,13,10,"0,77",0,2,1,2,2,0,1,,0,0,0,1,1,0,,Chasing Cinderaces,https://www.youtube.com/user/OGDNZ
16,Volcanion,,4,9,"2,25",,,,,,,,,2,,2,,5,0,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
17,Maxax,,6,9,"1,50",,,,,,,,1,4,2,0,1,,1,,Rexcalybur,https://www.youtube.com/user/MaxiVonVogel
18,Kicklee,,3,8,"2,67",,,,3,,5,,,,,,,,0,,Soulstealer,https://www.youtube.com/user/Raizor
19,Knakrack,,11,8,"0,73",0,,0,0,1,,1,0,,2,1,1,1,1,,Kastanienbomber,https://www.youtube.com/user/Blocki
20,Heatran,,14,8,"0,57",0,1,1,2,1,1,1,0,0,0,0,0,0,1,,Abyssal Nightmare,https://www.youtube.com/user/BlackLink
