Platz,Team,Punkte,Kills,Deaths,Differenz,Siege,Niederlagen,Unentschieden,Kanal
1,Victini Bottom,39,80,41,39,13,1,0,https://www.youtube.com/user/FullLifeGames
2,Flutschige Zäpfchen,24,70,59,11,8,6,0,https://www.youtube.com/user/Nestfloh
3,Prekani,21,69,66,3,7,7,0,https://www.youtube.com/user/Present
4,Glückspilze,21,67,72,-5,7,7,0,https://www.youtube.com/user/DauniDaunstar
5,Igalima Impoleon,18,59,62,-3,6,8,0,https://www.youtube.com/user/BelmontGabriel
6,Elekids Club,18,56,66,-10,6,8,0,https://www.youtube.com/user/ElektechN9ne
7,Arktipico,15,53,67,-14,5,9,0,https://www.youtube.com/user/Hydronic
8,Pillar Mons,12,53,74,-21,4,10,0,https://www.youtube.com/user/RegiBang
